"file","scenario","configuration","pve","K","saved","examined","included","errors","duplicates","nonconverged","excluded_nonconverged","error_messages"
"additive_add2_rec0_dom0_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Additive only","add2_rec0_dom0",0.4,2,400,3,3,0,0,0,0,""
"additive_recessive_add1_rec1_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Additive + recessive","add1_rec1_dom0",0.3,2,400,3,3,0,0,0,0,""
"recessive_add0_rec3_dom0_n500_L10_pve0.3_seed1e+06_reps400_chunk1.RData","Recessive only","add0_rec3_dom0",0.3,3,400,3,3,0,0,0,0,""
"additive_recessive_dominant_add1_rec1_dom1_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Additive + recessive + dominant","add1_rec1_dom1",0.1,3,400,3,3,0,0,0,0,""
"dominant_add0_rec0_dom2_n500_L10_pve0.1_seed1e+06_reps400_chunk1.RData","Dominant only","add0_rec0_dom2",0.1,2,400,3,3,0,0,0,0,""
"recessive_dominant_add0_rec1_dom1_n500_L10_pve0.4_seed1e+06_reps400_chunk1.RData","Recessive + dominant","add0_rec1_dom1",0.4,2,400,3,3,0,0,0,0,""
"additive_add1_rec0_dom0_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive only","add1_rec0_dom0",0.2,1,400,3,3,0,0,0,0,""
"additive_dominant_add1_rec0_dom1_n500_L10_pve0.2_seed1e+06_reps400_chunk1.RData","Additive + dominant","add1_rec0_dom1",0.2,2,400,3,3,0,0,0,0,""
"additive_add1_rec0_dom0_n500_L10_pve0.2_seed1e+06_reps200_chunk1.RData","Additive only","add1_rec0_dom0",0.2,1,9,3,0,0,3,0,0,""
