Found 18468 result files.
Processed 6300 of 18468 files; 160933 tissue results; 63138 credible sets; 327 original-summary errors; 0 CS-summary errors.
Processed 6400 of 18468 files; 163449 tissue results; 64057 credible sets; 333 original-summary errors; 0 CS-summary errors.
Processed 6500 of 18468 files; 166065 tissue results; 65811 credible sets; 336 original-summary errors; 0 CS-summary errors.
Processed 6600 of 18468 files; 168603 tissue results; 66837 credible sets; 342 original-summary errors; 0 CS-summary errors.
Processed 6700 of 18468 files; 171195 tissue results; 67900 credible sets; 346 original-summary errors; 0 CS-summary errors.
Processed 6800 of 18468 files; 173841 tissue results; 69453 credible sets; 348 original-summary errors; 0 CS-summary errors.
Processed 6900 of 18468 files; 176487 tissue results; 70044 credible sets; 350 original-summary errors; 0 CS-summary errors.
Processed 7000 of 18468 files; 178971 tissue results; 70980 credible sets; 358 original-summary errors; 0 CS-summary errors.
Processed 7100 of 18468 files; 181581 tissue results; 71738 credible sets; 361 original-summary errors; 0 CS-summary errors.
Processed 7200 of 18468 files; 184146 tissue results; 72615 credible sets; 366 original-summary errors; 0 CS-summary errors.
Processed 7300 of 18468 files; 186706 tissue results; 73275 credible sets; 371 original-summary errors; 0 CS-summary errors.
Processed 7400 of 18468 files; 189322 tissue results; 74311 credible sets; 374 original-summary errors; 0 CS-summary errors.
Processed 7500 of 18468 files; 191887 tissue results; 75241 credible sets; 379 original-summary errors; 0 CS-summary errors.
Processed 7600 of 18468 files; 194506 tissue results; 76029 credible sets; 382 original-summary errors; 0 CS-summary errors.
Processed 7700 of 18468 files; 197206 tissue results; 76726 credible sets; 382 original-summary errors; 0 CS-summary errors.
Processed 7800 of 18468 files; 199770 tissue results; 77494 credible sets; 387 original-summary errors; 0 CS-summary errors.
Processed 7900 of 18468 files; 202335 tissue results; 78138 credible sets; 392 original-summary errors; 0 CS-summary errors.
Processed 8000 of 18468 files; 205008 tissue results; 79221 credible sets; 393 original-summary errors; 0 CS-summary errors.
Processed 8100 of 18468 files; 207487 tissue results; 79611 credible sets; 393 original-summary errors; 0 CS-summary errors.
Processed 8200 of 18468 files; 210045 tissue results; 80643 credible sets; 398 original-summary errors; 0 CS-summary errors.
Processed 8300 of 18468 files; 212691 tissue results; 81723 credible sets; 400 original-summary errors; 0 CS-summary errors.
Processed 8400 of 18468 files; 215381 tissue results; 82670 credible sets; 400 original-summary errors; 0 CS-summary errors.
Processed 8500 of 18468 files; 217919 tissue results; 83883 credible sets; 406 original-summary errors; 0 CS-summary errors.
Processed 8600 of 18468 files; 220619 tissue results; 84957 credible sets; 406 original-summary errors; 0 CS-summary errors.
Processed 8800 of 18468 files; 224966 tissue results; 86655 credible sets; 445 original-summary errors; 0 CS-summary errors.
Processed 8900 of 18468 files; 227565 tissue results; 87485 credible sets; 448 original-summary errors; 0 CS-summary errors.
Processed 9000 of 18468 files; 230102 tissue results; 88434 credible sets; 454 original-summary errors; 0 CS-summary errors.
Processed 9100 of 18468 files; 232802 tissue results; 89424 credible sets; 454 original-summary errors; 0 CS-summary errors.
Processed 9200 of 18468 files; 235421 tissue results; 90524 credible sets; 457 original-summary errors; 0 CS-summary errors.
Processed 9300 of 18468 files; 237959 tissue results; 91317 credible sets; 463 original-summary errors; 0 CS-summary errors.
Processed 9400 of 18468 files; 240631 tissue results; 92682 credible sets; 464 original-summary errors; 0 CS-summary errors.
Processed 9500 of 18468 files; 242925 tissue results; 93570 credible sets; 479 original-summary errors; 0 CS-summary errors.
Processed 9600 of 18468 files; 245485 tissue results; 94737 credible sets; 484 original-summary errors; 0 CS-summary errors.
Processed 9700 of 18468 files; 248158 tissue results; 95672 credible sets; 485 original-summary errors; 0 CS-summary errors.
Processed 9800 of 18468 files; 250777 tissue results; 96906 credible sets; 488 original-summary errors; 0 CS-summary errors.
Processed 9900 of 18468 files; 253369 tissue results; 98312 credible sets; 492 original-summary errors; 0 CS-summary errors.
Processed 10000 of 18468 files; 256042 tissue results; 99304 credible sets; 493 original-summary errors; 0 CS-summary errors.
Processed 10100 of 18468 files; 258634 tissue results; 99983 credible sets; 497 original-summary errors; 0 CS-summary errors.
Processed 10200 of 18468 files; 261197 tissue results; 101235 credible sets; 502 original-summary errors; 0 CS-summary errors.
Processed 10300 of 18468 files; 263837 tissue results; 102811 credible sets; 504 original-summary errors; 0 CS-summary errors.
Processed 10400 of 18468 files; 266483 tissue results; 103775 credible sets; 506 original-summary errors; 0 CS-summary errors.
Processed 10500 of 18468 files; 268994 tissue results; 105369 credible sets; 513 original-summary errors; 0 CS-summary errors.
Processed 10600 of 18468 files; 271451 tissue results; 106314 credible sets; 522 original-summary errors; 0 CS-summary errors.
Processed 10700 of 18468 files; 274039 tissue results; 107081 credible sets; 524 original-summary errors; 0 CS-summary errors.
Processed 10800 of 18468 files; 276600 tissue results; 107780 credible sets; 524 original-summary errors; 0 CS-summary errors.
Processed 10900 of 18468 files; 279146 tissue results; 108167 credible sets; 524 original-summary errors; 0 CS-summary errors.
Processed 11000 of 18468 files; 281735 tissue results; 108736 credible sets; 524 original-summary errors; 0 CS-summary errors.
Processed 11200 of 18468 files; 286703 tissue results; 110322 credible sets; 540 original-summary errors; 0 CS-summary errors.
Processed 11300 of 18468 files; 289268 tissue results; 111416 credible sets; 545 original-summary errors; 0 CS-summary errors.
Processed 11400 of 18468 files; 291914 tissue results; 112278 credible sets; 547 original-summary errors; 0 CS-summary errors.
Processed 11500 of 18468 files; 294506 tissue results; 113231 credible sets; 551 original-summary errors; 0 CS-summary errors.
Processed 11600 of 18468 files; 296963 tissue results; 113990 credible sets; 560 original-summary errors; 0 CS-summary errors.
Processed 11700 of 18468 files; 299555 tissue results; 115191 credible sets; 564 original-summary errors; 0 CS-summary errors.
Processed 11800 of 18468 files; 302174 tissue results; 116213 credible sets; 567 original-summary errors; 0 CS-summary errors.
Processed 11900 of 18468 files; 304739 tissue results; 117182 credible sets; 572 original-summary errors; 0 CS-summary errors.
Processed 12000 of 18468 files; 307250 tissue results; 118300 credible sets; 579 original-summary errors; 0 CS-summary errors.
Processed 12100 of 18468 files; 309670 tissue results; 119549 credible sets; 589 original-summary errors; 0 CS-summary errors.
Processed 12200 of 18468 files; 312289 tissue results; 120137 credible sets; 592 original-summary errors; 0 CS-summary errors.
Processed 12300 of 18468 files; 314852 tissue results; 120915 credible sets; 595 original-summary errors; 0 CS-summary errors.
Processed 12400 of 18468 files; 317299 tissue results; 121876 credible sets; 603 original-summary errors; 0 CS-summary errors.
Processed 12500 of 18468 files; 319863 tissue results; 122568 credible sets; 608 original-summary errors; 0 CS-summary errors.
Processed 12600 of 18468 files; 322508 tissue results; 123693 credible sets; 610 original-summary errors; 0 CS-summary errors.
