"scenario","pve","K","coding","threshold","n_calls","n_correct","n_wrong_coding","n_wrong_snp","n_true","precision","recall","fdp"
"Additive + Dominant",0.1,2,"additive",0,928421,399,399,927623,399,0.000429761929124826,1,0.999570238070875
"Additive + Dominant",0.1,2,"additive",0.1,511,130,53,328,399,0.25440313111546,0.325814536340852,0.74559686888454
"Additive + Dominant",0.1,2,"additive",0.5,54,38,5,11,399,0.703703703703704,0.0952380952380952,0.296296296296296
"Additive + Dominant",0.1,2,"additive",0.8,15,12,0,3,399,0.8,0.0300751879699248,0.2
"Additive + Dominant",0.1,2,"additive",0.9,9,8,0,1,399,0.888888888888889,0.0200501253132832,0.111111111111111
"Additive + Dominant",0.1,2,"additive",0.95,7,6,0,1,399,0.857142857142857,0.0150375939849624,0.142857142857143
"Additive + Dominant",0.1,2,"additive",0.99,2,2,0,0,399,1,0.0050125313283208,0
"Additive + Dominant",0.1,2,"additive",1,0,0,0,0,399,NA,0,NA
"Additive + Dominant",0.1,2,"recessive",0,765050,0,648,764402,0,0,NA,1
"Additive + Dominant",0.1,2,"recessive",0.1,26,0,4,22,0,0,NA,1
"Additive + Dominant",0.1,2,"recessive",0.5,2,0,1,1,0,0,NA,1
"Additive + Dominant",0.1,2,"recessive",0.8,1,0,1,0,0,0,NA,1
"Additive + Dominant",0.1,2,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,2,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,2,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,2,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,2,"dominant",0,928421,399,399,927623,399,0.000429761929124826,1,0.999570238070875
"Additive + Dominant",0.1,2,"dominant",0.1,550,145,57,348,399,0.263636363636364,0.363408521303258,0.736363636363636
"Additive + Dominant",0.1,2,"dominant",0.5,57,38,8,11,399,0.666666666666667,0.0952380952380952,0.333333333333333
"Additive + Dominant",0.1,2,"dominant",0.8,18,16,0,2,399,0.888888888888889,0.0401002506265664,0.111111111111111
"Additive + Dominant",0.1,2,"dominant",0.9,12,11,0,1,399,0.916666666666667,0.0275689223057644,0.0833333333333333
"Additive + Dominant",0.1,2,"dominant",0.95,7,7,0,0,399,1,0.0175438596491228,0
"Additive + Dominant",0.1,2,"dominant",0.99,1,1,0,0,399,1,0.0025062656641604,0
"Additive + Dominant",0.1,2,"dominant",1,0,0,0,0,399,NA,0,NA
"Additive + Dominant",0.1,3,"additive",0,1860459,1200,1200,1858059,1200,0.000645002120444471,1,0.999354997879556
"Additive + Dominant",0.1,3,"additive",0.1,846,154,84,608,1200,0.182033096926714,0.128333333333333,0.817966903073286
"Additive + Dominant",0.1,3,"additive",0.5,54,27,6,21,1200,0.5,0.0225,0.5
"Additive + Dominant",0.1,3,"additive",0.8,13,4,2,7,1200,0.307692307692308,0.00333333333333333,0.692307692307692
"Additive + Dominant",0.1,3,"additive",0.9,3,2,0,1,1200,0.666666666666667,0.00166666666666667,0.333333333333333
"Additive + Dominant",0.1,3,"additive",0.95,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,3,"additive",0.99,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,3,"additive",1,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,3,"recessive",0,1533266,0,1960,1531306,0,0,NA,1
"Additive + Dominant",0.1,3,"recessive",0.1,34,0,2,32,0,0,NA,1
"Additive + Dominant",0.1,3,"recessive",0.5,1,0,0,1,0,0,NA,1
"Additive + Dominant",0.1,3,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,3,"dominant",0,1860459,1200,1200,1858059,1200,0.000645002120444471,1,0.999354997879556
"Additive + Dominant",0.1,3,"dominant",0.1,792,176,78,538,1200,0.222222222222222,0.146666666666667,0.777777777777778
"Additive + Dominant",0.1,3,"dominant",0.5,57,30,16,11,1200,0.526315789473684,0.025,0.473684210526316
"Additive + Dominant",0.1,3,"dominant",0.8,19,12,6,1,1200,0.631578947368421,0.01,0.368421052631579
"Additive + Dominant",0.1,3,"dominant",0.9,10,8,2,0,1200,0.8,0.00666666666666667,0.2
"Additive + Dominant",0.1,3,"dominant",0.95,3,2,1,0,1200,0.666666666666667,0.00166666666666667,0.333333333333333
"Additive + Dominant",0.1,3,"dominant",0.99,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,3,"dominant",1,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.1,4,"additive",0,2791539,2400,2400,2786739,2400,0.000859740809639414,1,0.999140259190361
"Additive + Dominant",0.1,4,"additive",0.1,979,177,89,713,2400,0.180796731358529,0.07375,0.819203268641471
"Additive + Dominant",0.1,4,"additive",0.5,58,35,12,11,2400,0.603448275862069,0.0145833333333333,0.396551724137931
"Additive + Dominant",0.1,4,"additive",0.8,20,18,0,2,2400,0.9,0.0075,0.1
"Additive + Dominant",0.1,4,"additive",0.9,8,8,0,0,2400,1,0.00333333333333333,0
"Additive + Dominant",0.1,4,"additive",0.95,7,7,0,0,2400,1,0.00291666666666667,0
"Additive + Dominant",0.1,4,"additive",0.99,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.1,4,"additive",1,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.1,4,"recessive",0,2300046,0,3909,2296137,0,0,NA,1
"Additive + Dominant",0.1,4,"recessive",0.1,97,0,4,93,0,0,NA,1
"Additive + Dominant",0.1,4,"recessive",0.5,2,0,0,2,0,0,NA,1
"Additive + Dominant",0.1,4,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,4,"dominant",0,2791539,2400,2400,2786739,2400,0.000859740809639414,1,0.999140259190361
"Additive + Dominant",0.1,4,"dominant",0.1,927,179,85,663,2400,0.193096008629989,0.0745833333333333,0.806903991370011
"Additive + Dominant",0.1,4,"dominant",0.5,50,28,2,20,2400,0.56,0.0116666666666667,0.44
"Additive + Dominant",0.1,4,"dominant",0.8,13,10,0,3,2400,0.769230769230769,0.00416666666666667,0.230769230769231
"Additive + Dominant",0.1,4,"dominant",0.9,5,4,0,1,2400,0.8,0.00166666666666667,0.2
"Additive + Dominant",0.1,4,"dominant",0.95,1,1,0,0,2400,1,0.000416666666666667,0
"Additive + Dominant",0.1,4,"dominant",0.99,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.1,4,"dominant",1,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.1,5,"additive",0,3722052,4000,4000,3714052,4000,0.00107467601204927,1,0.998925323987951
"Additive + Dominant",0.1,5,"additive",0.1,1105,180,103,822,4000,0.16289592760181,0.045,0.83710407239819
"Additive + Dominant",0.1,5,"additive",0.5,67,24,14,29,4000,0.358208955223881,0.006,0.641791044776119
"Additive + Dominant",0.1,5,"additive",0.8,10,10,0,0,4000,1,0.0025,0
"Additive + Dominant",0.1,5,"additive",0.9,4,4,0,0,4000,1,0.001,0
"Additive + Dominant",0.1,5,"additive",0.95,4,4,0,0,4000,1,0.001,0
"Additive + Dominant",0.1,5,"additive",0.99,0,0,0,0,4000,NA,0,NA
"Additive + Dominant",0.1,5,"additive",1,0,0,0,0,4000,NA,0,NA
"Additive + Dominant",0.1,5,"recessive",0,3066728,0,6556,3060172,0,0,NA,1
"Additive + Dominant",0.1,5,"recessive",0.1,106,0,3,103,0,0,NA,1
"Additive + Dominant",0.1,5,"recessive",0.5,5,0,0,5,0,0,NA,1
"Additive + Dominant",0.1,5,"recessive",0.8,1,0,0,1,0,0,NA,1
"Additive + Dominant",0.1,5,"recessive",0.9,1,0,0,1,0,0,NA,1
"Additive + Dominant",0.1,5,"recessive",0.95,1,0,0,1,0,0,NA,1
"Additive + Dominant",0.1,5,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,5,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.1,5,"dominant",0,3722052,4000,4000,3714052,4000,0.00107467601204927,1,0.998925323987951
"Additive + Dominant",0.1,5,"dominant",0.1,1021,179,75,767,4000,0.175318315377081,0.04475,0.824681684622919
"Additive + Dominant",0.1,5,"dominant",0.5,72,28,16,28,4000,0.388888888888889,0.007,0.611111111111111
"Additive + Dominant",0.1,5,"dominant",0.8,11,1,2,8,4000,0.0909090909090909,0.00025,0.909090909090909
"Additive + Dominant",0.1,5,"dominant",0.9,8,1,0,7,4000,0.125,0.00025,0.875
"Additive + Dominant",0.1,5,"dominant",0.95,3,0,0,3,4000,0,0,1
"Additive + Dominant",0.1,5,"dominant",0.99,0,0,0,0,4000,NA,0,NA
"Additive + Dominant",0.1,5,"dominant",1,0,0,0,0,4000,NA,0,NA
"Additive + Dominant",0.2,2,"additive",0,928778,399,399,927980,399,0.000429596738940845,1,0.999570403261059
"Additive + Dominant",0.2,2,"additive",0.1,791,220,62,509,399,0.278128950695322,0.551378446115288,0.721871049304678
"Additive + Dominant",0.2,2,"additive",0.5,122,89,8,25,399,0.729508196721312,0.223057644110276,0.270491803278689
"Additive + Dominant",0.2,2,"additive",0.8,56,50,1,5,399,0.892857142857143,0.12531328320802,0.107142857142857
"Additive + Dominant",0.2,2,"additive",0.9,40,37,0,3,399,0.925,0.0927318295739348,0.075
"Additive + Dominant",0.2,2,"additive",0.95,31,28,0,3,399,0.903225806451613,0.0701754385964912,0.0967741935483871
"Additive + Dominant",0.2,2,"additive",0.99,16,15,0,1,399,0.9375,0.037593984962406,0.0625
"Additive + Dominant",0.2,2,"additive",1,0,0,0,0,399,NA,0,NA
"Additive + Dominant",0.2,2,"recessive",0,765352,0,648,764704,0,0,NA,1
"Additive + Dominant",0.2,2,"recessive",0.1,16,0,2,14,0,0,NA,1
"Additive + Dominant",0.2,2,"recessive",0.5,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,2,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,2,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,2,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,2,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,2,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,2,"dominant",0,928778,399,399,927980,399,0.000429596738940845,1,0.999570403261059
"Additive + Dominant",0.2,2,"dominant",0.1,826,245,54,527,399,0.296610169491525,0.614035087719298,0.703389830508475
"Additive + Dominant",0.2,2,"dominant",0.5,121,97,6,18,399,0.801652892561983,0.243107769423559,0.198347107438017
"Additive + Dominant",0.2,2,"dominant",0.8,58,54,1,3,399,0.931034482758621,0.135338345864662,0.0689655172413793
"Additive + Dominant",0.2,2,"dominant",0.9,44,43,0,1,399,0.977272727272727,0.107769423558897,0.0227272727272727
"Additive + Dominant",0.2,2,"dominant",0.95,36,36,0,0,399,1,0.0902255639097744,0
"Additive + Dominant",0.2,2,"dominant",0.99,21,21,0,0,399,1,0.0526315789473684,0
"Additive + Dominant",0.2,2,"dominant",1,0,0,0,0,399,NA,0,NA
"Additive + Dominant",0.2,3,"additive",0,1861026,1200,1200,1858626,1200,0.000644805607229561,1,0.99935519439277
"Additive + Dominant",0.2,3,"additive",0.1,2068,502,194,1372,1200,0.242746615087041,0.418333333333333,0.757253384912959
"Additive + Dominant",0.2,3,"additive",0.5,255,163,37,55,1200,0.63921568627451,0.135833333333333,0.36078431372549
"Additive + Dominant",0.2,3,"additive",0.8,80,64,3,13,1200,0.8,0.0533333333333333,0.2
"Additive + Dominant",0.2,3,"additive",0.9,46,38,0,8,1200,0.826086956521739,0.0316666666666667,0.173913043478261
"Additive + Dominant",0.2,3,"additive",0.95,34,29,0,5,1200,0.852941176470588,0.0241666666666667,0.147058823529412
"Additive + Dominant",0.2,3,"additive",0.99,14,13,0,1,1200,0.928571428571429,0.0108333333333333,0.0714285714285714
"Additive + Dominant",0.2,3,"additive",1,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.2,3,"recessive",0,1533364,0,1960,1531404,0,0,NA,1
"Additive + Dominant",0.2,3,"recessive",0.1,57,0,5,52,0,0,NA,1
"Additive + Dominant",0.2,3,"recessive",0.5,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,3,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,3,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,3,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,3,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,3,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,3,"dominant",0,1861026,1200,1200,1858626,1200,0.000644805607229561,1,0.99935519439277
"Additive + Dominant",0.2,3,"dominant",0.1,1883,535,170,1178,1200,0.284121083377589,0.445833333333333,0.715878916622411
"Additive + Dominant",0.2,3,"dominant",0.5,237,172,30,35,1200,0.725738396624473,0.143333333333333,0.274261603375527
"Additive + Dominant",0.2,3,"dominant",0.8,103,95,5,3,1200,0.922330097087379,0.0791666666666667,0.0776699029126214
"Additive + Dominant",0.2,3,"dominant",0.9,75,71,4,0,1200,0.946666666666667,0.0591666666666667,0.0533333333333333
"Additive + Dominant",0.2,3,"dominant",0.95,49,47,2,0,1200,0.959183673469388,0.0391666666666667,0.0408163265306122
"Additive + Dominant",0.2,3,"dominant",0.99,19,19,0,0,1200,1,0.0158333333333333,0
"Additive + Dominant",0.2,3,"dominant",1,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.2,4,"additive",0,2791539,2400,2400,2786739,2400,0.000859740809639414,1,0.999140259190361
"Additive + Dominant",0.2,4,"additive",0.1,3191,752,310,2129,2400,0.235662801629583,0.313333333333333,0.764337198370417
"Additive + Dominant",0.2,4,"additive",0.5,341,208,35,98,2400,0.609970674486804,0.0866666666666667,0.390029325513196
"Additive + Dominant",0.2,4,"additive",0.8,111,92,3,16,2400,0.828828828828829,0.0383333333333333,0.171171171171171
"Additive + Dominant",0.2,4,"additive",0.9,64,57,1,6,2400,0.890625,0.02375,0.109375
"Additive + Dominant",0.2,4,"additive",0.95,49,45,0,4,2400,0.918367346938776,0.01875,0.0816326530612245
"Additive + Dominant",0.2,4,"additive",0.99,20,17,0,3,2400,0.85,0.00708333333333333,0.15
"Additive + Dominant",0.2,4,"additive",1,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.2,4,"recessive",0,2300046,0,3909,2296137,0,0,NA,1
"Additive + Dominant",0.2,4,"recessive",0.1,113,0,5,108,0,0,NA,1
"Additive + Dominant",0.2,4,"recessive",0.5,6,0,0,6,0,0,NA,1
"Additive + Dominant",0.2,4,"recessive",0.8,2,0,0,2,0,0,NA,1
"Additive + Dominant",0.2,4,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,4,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,4,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,4,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,4,"dominant",0,2791539,2400,2400,2786739,2400,0.000859740809639414,1,0.999140259190361
"Additive + Dominant",0.2,4,"dominant",0.1,3042,776,262,2004,2400,0.255095332018409,0.323333333333333,0.744904667981591
"Additive + Dominant",0.2,4,"dominant",0.5,328,231,39,58,2400,0.704268292682927,0.09625,0.295731707317073
"Additive + Dominant",0.2,4,"dominant",0.8,144,123,9,12,2400,0.854166666666667,0.05125,0.145833333333333
"Additive + Dominant",0.2,4,"dominant",0.9,89,85,3,1,2400,0.955056179775281,0.0354166666666667,0.0449438202247191
"Additive + Dominant",0.2,4,"dominant",0.95,59,56,3,0,2400,0.949152542372881,0.0233333333333333,0.0508474576271186
"Additive + Dominant",0.2,4,"dominant",0.99,32,32,0,0,2400,1,0.0133333333333333,0
"Additive + Dominant",0.2,4,"dominant",1,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.2,5,"additive",0,3722052,4000,4000,3714052,4000,0.00107467601204927,1,0.998925323987951
"Additive + Dominant",0.2,5,"additive",0.1,3980,902,369,2709,4000,0.226633165829146,0.2255,0.773366834170854
"Additive + Dominant",0.2,5,"additive",0.5,371,219,46,106,4000,0.590296495956873,0.05475,0.409703504043127
"Additive + Dominant",0.2,5,"additive",0.8,121,98,3,20,4000,0.809917355371901,0.0245,0.190082644628099
"Additive + Dominant",0.2,5,"additive",0.9,61,58,0,3,4000,0.950819672131147,0.0145,0.0491803278688525
"Additive + Dominant",0.2,5,"additive",0.95,44,41,0,3,4000,0.931818181818182,0.01025,0.0681818181818182
"Additive + Dominant",0.2,5,"additive",0.99,19,18,0,1,4000,0.947368421052632,0.0045,0.0526315789473684
"Additive + Dominant",0.2,5,"additive",1,0,0,0,0,4000,NA,0,NA
"Additive + Dominant",0.2,5,"recessive",0,3066728,0,6556,3060172,0,0,NA,1
"Additive + Dominant",0.2,5,"recessive",0.1,164,0,14,150,0,0,NA,1
"Additive + Dominant",0.2,5,"recessive",0.5,1,0,0,1,0,0,NA,1
"Additive + Dominant",0.2,5,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,5,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,5,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,5,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,5,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.2,5,"dominant",0,3722052,4000,4000,3714052,4000,0.00107467601204927,1,0.998925323987951
"Additive + Dominant",0.2,5,"dominant",0.1,3738,879,334,2525,4000,0.235152487961477,0.21975,0.764847512038523
"Additive + Dominant",0.2,5,"dominant",0.5,411,280,53,78,4000,0.681265206812652,0.07,0.318734793187348
"Additive + Dominant",0.2,5,"dominant",0.8,154,126,8,20,4000,0.818181818181818,0.0315,0.181818181818182
"Additive + Dominant",0.2,5,"dominant",0.9,84,73,0,11,4000,0.869047619047619,0.01825,0.130952380952381
"Additive + Dominant",0.2,5,"dominant",0.95,48,45,0,3,4000,0.9375,0.01125,0.0625
"Additive + Dominant",0.2,5,"dominant",0.99,16,16,0,0,4000,1,0.004,0
"Additive + Dominant",0.2,5,"dominant",1,0,0,0,0,4000,NA,0,NA
"Additive + Dominant",0.3,2,"additive",0,928421,399,399,927623,399,0.000429761929124826,1,0.999570238070875
"Additive + Dominant",0.3,2,"additive",0.1,829,258,53,518,399,0.311218335343788,0.646616541353383,0.688781664656212
"Additive + Dominant",0.3,2,"additive",0.5,159,120,6,33,399,0.754716981132076,0.300751879699248,0.245283018867925
"Additive + Dominant",0.3,2,"additive",0.8,86,79,1,6,399,0.918604651162791,0.197994987468672,0.0813953488372093
"Additive + Dominant",0.3,2,"additive",0.9,77,71,0,6,399,0.922077922077922,0.177944862155388,0.0779220779220779
"Additive + Dominant",0.3,2,"additive",0.95,60,57,0,3,399,0.95,0.142857142857143,0.05
"Additive + Dominant",0.3,2,"additive",0.99,38,36,0,2,399,0.947368421052632,0.0902255639097744,0.0526315789473684
"Additive + Dominant",0.3,2,"additive",1,0,0,0,0,399,NA,0,NA
"Additive + Dominant",0.3,2,"recessive",0,765050,0,648,764402,0,0,NA,1
"Additive + Dominant",0.3,2,"recessive",0.1,8,0,1,7,0,0,NA,1
"Additive + Dominant",0.3,2,"recessive",0.5,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,2,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,2,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,2,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,2,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,2,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,2,"dominant",0,928421,399,399,927623,399,0.000429761929124826,1,0.999570238070875
"Additive + Dominant",0.3,2,"dominant",0.1,836,280,40,516,399,0.334928229665072,0.701754385964912,0.665071770334928
"Additive + Dominant",0.3,2,"dominant",0.5,167,142,8,17,399,0.850299401197605,0.355889724310777,0.149700598802395
"Additive + Dominant",0.3,2,"dominant",0.8,97,93,1,3,399,0.958762886597938,0.233082706766917,0.0412371134020619
"Additive + Dominant",0.3,2,"dominant",0.9,81,80,0,1,399,0.987654320987654,0.200501253132832,0.0123456790123457
"Additive + Dominant",0.3,2,"dominant",0.95,61,61,0,0,399,1,0.152882205513784,0
"Additive + Dominant",0.3,2,"dominant",0.99,43,43,0,0,399,1,0.107769423558897,0
"Additive + Dominant",0.3,2,"dominant",1,0,0,0,0,399,NA,0,NA
"Additive + Dominant",0.3,3,"additive",0,1861026,1200,1200,1858626,1200,0.000644805607229561,1,0.99935519439277
"Additive + Dominant",0.3,3,"additive",0.1,2417,672,181,1564,1200,0.278030616466694,0.56,0.721969383533306
"Additive + Dominant",0.3,3,"additive",0.5,363,260,38,65,1200,0.716253443526171,0.216666666666667,0.283746556473829
"Additive + Dominant",0.3,3,"additive",0.8,191,165,5,21,1200,0.863874345549738,0.1375,0.136125654450262
"Additive + Dominant",0.3,3,"additive",0.9,125,113,2,10,1200,0.904,0.0941666666666667,0.096
"Additive + Dominant",0.3,3,"additive",0.95,95,87,0,8,1200,0.91578947368421,0.0725,0.0842105263157895
"Additive + Dominant",0.3,3,"additive",0.99,55,49,0,6,1200,0.890909090909091,0.0408333333333333,0.109090909090909
"Additive + Dominant",0.3,3,"additive",1,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.3,3,"recessive",0,1533364,0,1960,1531404,0,0,NA,1
"Additive + Dominant",0.3,3,"recessive",0.1,53,0,4,49,0,0,NA,1
"Additive + Dominant",0.3,3,"recessive",0.5,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,3,"recessive",0.8,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,3,"recessive",0.9,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,3,"recessive",0.95,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,3,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,3,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,3,"dominant",0,1861026,1200,1200,1858626,1200,0.000644805607229561,1,0.99935519439277
"Additive + Dominant",0.3,3,"dominant",0.1,2228,689,167,1372,1200,0.309245960502693,0.574166666666667,0.690754039497307
"Additive + Dominant",0.3,3,"dominant",0.5,360,277,35,48,1200,0.769444444444444,0.230833333333333,0.230555555555556
"Additive + Dominant",0.3,3,"dominant",0.8,199,186,11,2,1200,0.934673366834171,0.155,0.0653266331658292
"Additive + Dominant",0.3,3,"dominant",0.9,142,135,6,1,1200,0.950704225352113,0.1125,0.0492957746478873
"Additive + Dominant",0.3,3,"dominant",0.95,112,110,1,1,1200,0.982142857142857,0.0916666666666667,0.0178571428571429
"Additive + Dominant",0.3,3,"dominant",0.99,74,72,1,1,1200,0.972972972972973,0.06,0.027027027027027
"Additive + Dominant",0.3,3,"dominant",1,0,0,0,0,1200,NA,0,NA
"Additive + Dominant",0.3,4,"additive",0,2791539,2400,2400,2786739,2400,0.000859740809639414,1,0.999140259190361
"Additive + Dominant",0.3,4,"additive",0.1,4322,1153,349,2820,2400,0.266774641369736,0.480416666666667,0.733225358630264
"Additive + Dominant",0.3,4,"additive",0.5,598,400,52,146,2400,0.668896321070234,0.166666666666667,0.331103678929766
"Additive + Dominant",0.3,4,"additive",0.8,271,227,9,35,2400,0.837638376383764,0.0945833333333333,0.162361623616236
"Additive + Dominant",0.3,4,"additive",0.9,183,164,2,17,2400,0.896174863387978,0.0683333333333333,0.103825136612022
"Additive + Dominant",0.3,4,"additive",0.95,126,118,1,7,2400,0.936507936507937,0.0491666666666667,0.0634920634920635
"Additive + Dominant",0.3,4,"additive",0.99,68,63,0,5,2400,0.926470588235294,0.02625,0.0735294117647059
"Additive + Dominant",0.3,4,"additive",1,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.3,4,"recessive",0,2300046,0,3909,2296137,0,0,NA,1
"Additive + Dominant",0.3,4,"recessive",0.1,85,0,3,82,0,0,NA,1
"Additive + Dominant",0.3,4,"recessive",0.5,11,0,0,11,0,0,NA,1
"Additive + Dominant",0.3,4,"recessive",0.8,2,0,0,2,0,0,NA,1
"Additive + Dominant",0.3,4,"recessive",0.9,2,0,0,2,0,0,NA,1
"Additive + Dominant",0.3,4,"recessive",0.95,2,0,0,2,0,0,NA,1
"Additive + Dominant",0.3,4,"recessive",0.99,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,4,"recessive",1,0,0,0,0,0,NA,NA,NA
"Additive + Dominant",0.3,4,"dominant",0,2791539,2400,2400,2786739,2400,0.000859740809639414,1,0.999140259190361
"Additive + Dominant",0.3,4,"dominant",0.1,4174,1213,328,2633,2400,0.290608528988979,0.505416666666667,0.709391471011021
"Additive + Dominant",0.3,4,"dominant",0.5,626,474,55,97,2400,0.757188498402556,0.1975,0.242811501597444
"Additive + Dominant",0.3,4,"dominant",0.8,307,279,13,15,2400,0.908794788273616,0.11625,0.0912052117263844
"Additive + Dominant",0.3,4,"dominant",0.9,228,217,5,6,2400,0.951754385964912,0.0904166666666667,0.0482456140350877
"Additive + Dominant",0.3,4,"dominant",0.95,182,174,5,3,2400,0.956043956043956,0.0725,0.043956043956044
"Additive + Dominant",0.3,4,"dominant",0.99,101,101,0,0,2400,1,0.0420833333333333,0
"Additive + Dominant",0.3,4,"dominant",1,0,0,0,0,2400,NA,0,NA
"Additive + Dominant",0.3,5,"additive",0,3722052,4000,4000,3714052,4000,0.00107467601204927,1,0.998925323987951
"Additive + Dominant",0.3,5,"additive",0.1,6336,1559,545,4232,4000,0.246054292929293,0.38975,0.753945707070707
"Additive + Dominant",0.3,5,"additive",0.5,797,511,77,209,4000,0.641154328732748,0.12775,0.358845671267252
"Additive + Dominant",0.3,5,"additive",0.8,362,289,18,55,4000,0.798342541436464,0.07225,0.201657458563536
"Additive + Dominant",0.3,5,"additive",0.9,238,211,4,23,4000,0.886554621848739,0.05275,0.113445378151261
"Additive + Dominant",0.3,5,"additive",0.95,167,151,0,16,4000,0.904191616766467,0.03775,0.0958083832335329
"Additive + Dominant",0.3,5,"additive",0.99,66,64,0,2,4000,0.96969696969697,0.016,0.0303030303030303
"Additive + Dominant",0.3,5,"additive",1,0,0,0,0,4000,NA,0,NA
"Additive + Dominant",0.3,5,"recessive",0,3066728,0,6556,3060172,0,0,NA,1
"Additive + Dominant",0.3,5,"recessive",0.1,132,0,14,118,0,0,NA,1
"Additive + Dominant",0.3,5,"recessive",0.5,2,0,2,0,0,0,NA,1
"Additive + Dominant",0.3,5,"recessive",0.8,2,0,2,0,0,0,NA,1
