"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.4,1,"recessive",0,0.201934869322029,0.201934869322029,0.189397259336213,0.211016649228134,259.949569666263,400,400,0
"Additive only","add1_rec0_dom0","add1_rec0_dom0",FALSE,0.4,1,"dominant",0,0.253639725929479,0.253639725929479,0.240119547037841,0.26417439608806,326.508927492317,400,400,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.1,2,"additive",0,0.31814917435586,0.31814917435586,0.308766157856876,0.327011553484236,492.2503849082,399,399,1
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.1,2,"recessive",0,0.169555722026788,0.169555722026788,0.156293913323656,0.179738360963815,262.341933151513,399,399,1
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.1,2,"dominant",1,0.512295103617352,-0.487704896382648,0.496268590417788,0.531072650552702,792.639058243032,399,399,1
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.1,2,"additive",0,0.270507367764665,0.270507367764665,0.25841073382322,0.280406565990085,432.562701093911,400,400,1
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.1,2,"recessive",0.5,0.363742754154318,-0.136257245845682,0.354951151874434,0.373313106869844,581.653466744808,400,400,1
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.1,2,"dominant",0.5,0.365749878081017,-0.134250121918983,0.358880478606653,0.373081040898464,584.863016837057,400,400,1
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.1,2,"additive",0,0.233424995939617,0.233424995939617,0.220203254527076,0.24420508447171,391.914490518728,400,400,4
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.1,2,"recessive",1,0.54152017290455,-0.45847982709545,0.520126601869016,0.566690152600324,909.19827079873,400,400,4
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.1,2,"dominant",0,0.225054831155833,0.225054831155833,0.212905068419687,0.235851413314534,377.861201779921,400,400,4
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.1,2,"additive",0.5,0.416238468209896,-0.0837615317901041,0.40715937122024,0.427819161849803,637.358120964086,399,399,1
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.1,2,"recessive",0,0.171063726690008,0.171063726690008,0.15799226609548,0.181277261779318,261.938440906615,399,399,1
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.1,2,"dominant",0.5,0.412697805100096,-0.0873021948999042,0.403289730111362,0.423967575196712,631.936540406349,399,399,1
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.1,2,"additive",0.5,0.368795910872124,-0.131204089127876,0.361147097701725,0.376638496344047,608.533922257919,400,400,1
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.1,2,"recessive",0.5,0.367410762499168,-0.132589237500832,0.358608537185921,0.378042183295989,606.248349811328,400,400,1
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.1,2,"dominant",0,0.263793326628708,0.263793326628708,0.252270142141512,0.272834584964486,435.273773343145,400,400,1
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.1,2,"additive",1,0.501684919722856,-0.498315080277144,0.487800568822268,0.518816584044227,814.308574674724,399,399,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.1,2,"recessive",0,0.179945169627042,0.179945169627042,0.168414759295338,0.189760914124702,292.077534799223,399,399,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.1,2,"dominant",0,0.318369910650102,0.318369910650102,0.308104565575527,0.326239283342501,516.761293729978,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.2,2,"additive",0,0.25434135146141,0.25434135146141,0.242063285979205,0.265730127818813,383.640850011135,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.2,2,"recessive",0,0.143574482340796,0.143574482340796,0.130946282812274,0.154481796009454,216.563433860218,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.2,2,"dominant",1,0.602084166197794,-0.397915833802206,0.581600100518682,0.625327441059281,908.165659933647,399,399,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.2,2,"additive",0,0.204421788296636,0.204421788296636,0.189090549358628,0.216444470064497,316.107860740518,400,400,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.2,2,"recessive",0.5,0.396511454008148,-0.103488545991852,0.388178654815166,0.407138305130249,613.145929942393,400,400,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.2,2,"dominant",0.5,0.399066757695217,-0.100933242304783,0.39220007187932,0.406227517822262,617.097326654027,400,400,0
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.2,2,"additive",0,0.185208056265245,0.185208056265245,0.169361553083336,0.198531909349427,298.784427945738,400,400,1
