model,coding,credible_sets,percentage_within_model
Unweighted mixed,Additive,9307,85.1821343584111
Unweighted mixed,Recessive,186,1.70236133992312
Unweighted mixed,Dominant,1433,13.1155043016658
Weighted mixed,Additive,10646,97.4997710413042
Weighted mixed,Recessive,36,0.329700522025827
Weighted mixed,Dominant,237,2.17052843667002
