subset,gene_tissue_pairs,genes,tissues,total_weighted_cs,pairs_with_weighted_cs,pct_with_weighted_cs,converged_weighted_fits,pct_converged_weighted_fits
All weighted gene-tissue pairs,398256,14802,27,48683,45644,11.4609698284521,398256,100
P < 1.0e-08,14006,3881,27,16454,14006,100,14006,100
P < 1.0e-08 and mean reads >= 100,9358,2976,27,10919,9358,100,9358,100
