gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,em_iteration,coding_pattern,number_coding_types
ABCB4,Testis,ABCB4.rds,211,1348,3347,0,697,0,212.464454976303,193,1.53188571158644e-21,-0.885067056196476,0.000297863792866337,-253.552919175774,-253.639420250342,-298.753293732085,-298.753293732085,1,1,0,0,14,15,14,100,0,0,14,1,14,14,100,0,0,0,14,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-260.534045881071,-0.0353909246241528,0.849676131572323,-253.555818116785,TRUE,1,0,0,0.964197560348019,0.0316962538136861,0.00410618583829503,0.964197560348019,0.0316962538136861,0.00410618583829503,14,14,100,14,1,14,15,0.933333333333333,93.3333333333333,100,1,14,TRUE,FALSE,FALSE,TRUE,TRUE,12,A,1
ABCC3,Blood,ABCC3.rds,435,1802,5127,0,279,0,748.402298850575,603,2.82506982708709e-09,-0.991672246789221,0.000495438032430684,-600.179436337139,-600.353429775464,-616.591585743734,-616.591585743734,1,1,0,0,8,9,8,100,0,0,8,1,8,8,100,0,0,0,8,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-607.950169067611,-0.145249962209846,0.846422284579376,-600.187526284779,TRUE,1,0,0,0.862736114670144,0.127550185199881,0.00971370012997481,0.862736114670144,0.127550185199881,0.00971370012997481,8,8,100,8,1,8,9,0.888888888888889,88.8888888888889,100,1,8,TRUE,FALSE,FALSE,TRUE,TRUE,12,A,1
ABCC3,Lung,ABCC3.rds,323,1802,5087,0,319,0,3889.34984520124,3532,5.62834929776464e-12,-1.03635271969472,0.000489478021563627,-434.713011936911,-434.720313854396,-457.672058805041,-457.672058805041,1,1,0,0,3,3,3,100,0,0,3,1,3,3,100,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-443.50529550918,-0.0712423433308231,0.965110376363896,-434.713499906927,TRUE,1,0,0,0.930764682521748,0.0673943101777559,0.00184100730049573,0.930764682521748,0.0673943101777559,0.00184100730049573,3,3,100,3,1,3,3,1,100,100,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,12,A,1
ABCC3,Nerve,ABCC3.rds,354,1802,5090,0,316,0,480.437853107345,380,9.81781161720098e-18,-0.900432760083049,0.000489925022861826,-465.385057222903,-465.612251587042,-501.658658586283,-501.658658586283,1,1,0,0,3,3,3,100,0,0,3,1,3,3,100,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-474.251806984059,-0.031826587024625,0.868606173058424,-465.394486562105,TRUE,1,0,0,0.963677116962512,0.0352408233355386,0.00108205970194926,0.963677116962512,0.0352408233355386,0.00108205970194926,3,3,100,3,1,3,3,1,100,100,1,3,TRUE,TRUE,FALSE,TRUE,TRUE,12,A,1
ABCC3,Testis,ABCC3.rds,211,1802,4932,0,474,0,1127.00947867299,899,4.2343349822393e-10,-1.34520964744752,0.000466382945774058,-279.901933234076,-279.952705164207,-298.753293732085,-298.753293732085,1,1,0,0,3,3,3,100,0,0,3,1,3,3,100,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-288.247626415232,-0.391721919438282,0.953487728009236,-279.879728740255,TRUE,1,0,0,0.964197560348019,0.0316962538136861,0.00410618583829503,0.964197560348019,0.0316962538136861,0.00410618583829503,3,3,100,3,1,3,3,1,100,100,1,3,TRUE,TRUE,TRUE,TRUE,TRUE,12,A,1
ABCC4,Esophagus,ABCC4.rds,412,2769,7638,0,669,0,632.456310679612,455.5,2.2029379774752e-10,-1.00207969656094,0.000725481286281138,-564.522873402328,-564.598634255677,-583.956285315508,-583.956285315508,1,1,0,0,2,3,2,100,0,0,2,1,2,2,100,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-573.992382398321,-0.0488235364733782,0.953256160087562,-564.525780499275,TRUE,1,0,0,0.95128087890051,0.0481670003127524,0.000552120786737723,0.95128087890051,0.0481670003127524,0.000552120786737723,2,2,100,2,1,2,3,0.666666666666667,66.6666666666667,100,1,2,TRUE,FALSE,FALSE,TRUE,TRUE,12,A,1
ABCC4,Thyroid,ABCC4.rds,390,2769,7581,0,726,0,827.946153846154,745,1.64844268158216e-16,-1.09696096839502,0.00071698858732816,-511.534255400709,-512.315622410538,-552.739928256339,-552.739928256339,2,2,0,0,165,602,165,100,0,0,165,2,165,165,100,0,0,0,101,55,8,63,1,38.1818181818182,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-526.846409061567,-0.0344313631472915,1.06252960524773,-511.554008085657,TRUE,2,0,0,0.964639408422988,0.0336120560203614,0.00174853555665088,0.964639408422988,0.0336120560203614,0.00174853555665088,197,165,100,165,2,197,602,0.327242524916944,32.7242524916944,100,2,197,TRUE,FALSE,FALSE,TRUE,TRUE,12,A,1
ABCC6,Blood Vessel,ABCC6.rds,450,1741,4764,0,459,0,141.28,105,6.64982076791234e-31,-0.432740696819451,-0.0910412724597336,-571.199796342882,-571.312333929031,-637.891261512681,-637.885802289851,1,1,0,0,1,1,1,100,0,0,1,1,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-581.20222981909,-0.0148636252697543,0.417877071549697,-571.210422536538,TRUE,1,0,0,0.944257981084007,0.0523967434981818,0.00334527541781087,0.944257981084007,0.0523967434981818,0.00334527541781087,1,1,100,1,1,1,1,1,100,100,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,12,A,1
ABCC6,Heart,ABCC6.rds,331,1741,4663,0,560,0,109.33836858006,72,1.92299948690461e-09,-0.301874713159521,0.000435391156088372,-451.564688751256,-451.667144683436,-469.023434530328,-469.023434530328,1,1,0,0,1,2,1,100,0,0,1,1,1,1,100,0,0,0,0,1,0,1,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-460.598563826251,-0.0262107621148857,0.275663951044635,-451.64453859596,TRUE,1,0,0,0.907409119281138,0.0877991270187996,0.00479175370006282,0.907409119281138,0.0877991270187996,0.00479175370006282,2,1,100,1,1,2,2,1,100,100,1,2,TRUE,TRUE,TRUE,TRUE,FALSE,12,A,1
ABCC6,Muscle,ABCC6.rds,477,1741,4802,0,421,0,246.911949685535,133,1.13196123435725e-31,0.762919989229204,-0.292003793015397,-607.76481542186,-606.430050929383,-669.972860262391,-670.609732791918,1,1,1,1,1,1,1,100,0,0,1,1,1,1,100,0,0,0,0,1,0,1,0,100,565,1489,565,565,100,0,0,1,565,565,100,0,0,196,192,144,336,33,59.4690265486726,0,0,1,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-617.60871717083,0.154051473446202,-0.608868515783001,-607.475102796176,TRUE,1,0,0,0.955330531815717,0.0430435225995494,0.00162594558473393,0.955330531815717,0.0430435225995494,0.00162594558473393,1,1,100,1,1,1,1,1,100,100,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,12,A,1
