gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,em_iteration,coding_pattern,number_coding_types
XRRA1,Kidney,XRRA1.rds,54,1798,4338,68,1123,69,532.222222222222,405,3.67912909277318e-10,1.56795051828821,0.000378472191897572,-56.0000169136775,-53.7894089882778,-75.9871254721308,-75.9871254721308,1,1,0,0,32,38,32,100,0,0,32,1,32,13,40.625,19,59.375,59.375,0,32,0,32,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-61.1892292830215,0.767197458958364,-0.80075305932985,-54.5125438788237,TRUE,0,1,0,0.861353969837046,0.129513075607166,0.0091329545557885,0.861353969837046,0.129513075607166,0.0091329545557885,35,32,100,32,1,35,38,0.921052631578947,92.1052631578947,100,1,35,TRUE,FALSE,FALSE,TRUE,TRUE,12,D,1
ZC3H3,Liver,ZC3H3.rds,140,2362,6152,0,934,0,3291.98571428571,2632.5,4.16150566563092e-17,8.00379240988957,0.000564718187092694,-163.087396709162,-154.102619306462,-198.010960576874,-198.010960576874,1,1,0,0,12,16,11,91.6666666666667,1,8.33333333333333,11,1,11,0,0,11,91.6666666666667,100,0,11,0,11,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-163.980061005533,6.56660195979129,-1.43719045009829,-153.944423421751,TRUE,0,1,0,0.890590678632766,0.0996675572205127,0.00974176414672103,0.890590678632766,0.0996675572205127,0.00974176414672103,10,10,83.3333333333333,0,1,10,16,0.625,62.5,100,1,10,TRUE,FALSE,FALSE,TRUE,TRUE,12,D,1
ZDHHC11,Muscle,ZDHHC11.rds,477,2438,6701,0,613,0,232.687631027254,179,2.41966861846296e-11,4.68179725479013,0.000635193250673183,-646.513822673328,-641.196264974117,-676.186523626109,-676.186523626109,2,2,0,0,302,115,105,34.7682119205298,197,65.2317880794702,105,3,105,91,30.1324503311258,14,4.63576158940397,13.3333333333333,48,44,2,46,11,43.8095238095238,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,2,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-659.327101732441,2.70488302144668,-1.97691423334345,-640.538298070403,TRUE,1,1,0,0.955330531815717,0.0430435225995494,0.00162594558473393,0.955330531815717,0.0430435225995494,0.00162594558473393,51,51,16.887417218543,47,3,51,115,0.443478260869565,44.3478260869565,100,2,51,TRUE,FALSE,FALSE,FALSE,FALSE,12,AD,2
ZDHHC11,Thyroid,ZDHHC11.rds,390,2438,6608,0,706,0,584.523076923077,440.5,6.68294214294287e-15,1.10706656307093,0.000621336545236773,-504.992579409344,-502.835507897826,-552.739928256339,-552.739928256339,2,2,0,0,8,9,7,87.5,1,12.5,7,2,7,7,87.5,0,0,0,0,2,0,2,5,28.5714285714286,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-521.507221264567,0.971089008995705,-0.135977554075225,-500.52169959635,TRUE,1,1,0,0.964639408422988,0.0336120560203614,0.00174853555665088,0.964639408422988,0.0336120560203614,0.00174853555665088,7,4,50,4,2,5,11,0.454545454545455,55.5555555555556,71.4285714285714,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,12,AD,2
ZDHHC11B,Adipose Tissue,ZDHHC11B.rds,470,2496,6835,0,653,0,628.085106382979,392,6.07411405520789e-12,4.53702037344124,0.000646516438109757,-633.040426527453,-625.460542745095,-666.254030580006,-666.254030580006,2,2,0,0,25,8,7,28,18,72,7,2,7,1,4,6,24,85.7142857142857,0,7,0,7,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,2,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-647.484132446087,1.94970788193507,-2.58731249150617,-627.308162585047,TRUE,1,1,0,0.941167127356332,0.0554230546585655,0.00340981798510223,0.941167127356332,0.0554230546585655,0.00340981798510223,10,9,36,7,2,8,10,0.8,100,80,2,8,TRUE,FALSE,FALSE,TRUE,FALSE,12,AD,2
ZDHHC11B,Colon,ZDHHC11B.rds,332,2496,6643,0,845,0,2001.31626506024,1466,1.81599252154882e-10,1.56071722337708,0.000617909080915524,-451.187612669558,-448.278377717369,-470.442356744422,-470.442356744422,1,1,0,0,4,2,2,50,2,50,2,1,2,1,25,1,25,50,0,2,0,2,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-459.140445411552,0.576134370337513,-0.984582853039569,-449.658817334218,TRUE,0,1,0,0.92027031988356,0.0747644052432077,0.00496527487323349,0.920270319883559,0.0747644052432076,0.00496527487323349,3,3,75,3,1,2,3,0.666666666666667,100,66.6666666666667,1,2,TRUE,FALSE,FALSE,TRUE,TRUE,12,D,1
ZFP1,Thyroid,ZFP1.rds,390,2550,6999,0,651,0,615.330769230769,577,1.18097470579794e-10,3.3300040682667,0.000662905498529653,-533.512492653094,-529.107528728574,-552.739928256339,-552.739928256339,1,1,0,0,36,31,30,83.3333333333333,6,16.6666666666667,30,1,30,0,0,30,83.3333333333333,100,0,30,0,30,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-538.524408508224,1.21804582636753,-2.11195824189917,-530.19016944843,TRUE,0,1,0,0.964639408422988,0.0336120560203614,0.00174853555665088,0.964639408422988,0.0336120560203614,0.00174853555665088,36,35,97.2222222222222,27,1,31,36,0.861111111111111,100,86.1111111111111,1,31,TRUE,FALSE,FALSE,TRUE,TRUE,12,D,1
ZFP57,Blood Vessel,ZFP57.rds,450,7368,19236,0,2868,0,131.104444444444,14.5,7.0764061671836e-90,3.7738588782924,-0.282410630575669,-432.052785462999,-427.34902269438,-628.987891250457,-634.738039112663,1,1,1,0,15,15,15,100,0,0,15,1,15,0,0,15,100,100,0,15,0,15,0,100,4457,0,0,0,0,4457,100,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-439.579214446307,1.91395395302214,-1.85990492527026,-427.924048615981,TRUE,0,1,0,0.944257981084007,0.0523967434981818,0.00334527541781087,0.944257981084007,0.0523967434981818,0.00334527541781087,15,15,100,10,1,15,15,1,100,100,1,15,TRUE,TRUE,FALSE,TRUE,TRUE,12,D,1
ZFP57,Breast,ZFP57.rds,269,7368,18422,0,3682,0,106.68029739777,16,1.14295798464727e-57,1.91172082682428,0.0016468579173079,-248.02872831205,-245.387380355702,-376.797273847182,-376.797273847182,1,1,0,0,14,15,14,100,0,0,14,1,14,2,14.2857142857143,12,85.7142857142857,85.7142857142857,0,14,0,14,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-256.687151130218,0.6073456611133,-1.30437516571098,-246.624403967816,TRUE,0,1,0,0.937186253003572,0.0592567595904155,0.00355698740601229,0.937186253003572,0.0592567595904155,0.00355698740601229,14,14,100,13,1,14,15,0.933333333333333,93.3333333333333,100,1,14,TRUE,FALSE,FALSE,TRUE,TRUE,12,D,1
ZFP57,Heart,ZFP57.rds,331,7368,18804,0,3300,0,317.700906344411,36,2.58425040713908e-66,5.80869636373274,0.00170376456992472,-317.066390864851,-310.295877351968,-465.621223302102,-465.621223302102,1,1,0,0,15,15,15,100,0,0,15,1,15,0,0,15,100,100,0,15,0,15,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-322.028043624011,4.32294672979458,-1.48574963393816,-310.358326973942,TRUE,0,1,0,0.907409119281138,0.0877991270187996,0.00479175370006282,0.907409119281138,0.0877991270187996,0.00479175370006282,15,15,100,0,1,15,15,1,100,100,1,15,TRUE,TRUE,TRUE,TRUE,TRUE,12,D,1
