agreement_category,count,percentage
Same CS count; same lead SNP(s),8936,95.4904894208164
Same CS count; different lead SNP(s); SNP overlap,147,1.5708484718957
Different CS count,272,2.90660397520838
Same CS count; no SNP overlap,3,0.0320581320795042
Neither model reported a CS,0,0
Additive model only,0,0
Weighted mixed model only,0,0
