metric,count,denominator,percentage
Same number of credible sets,9351,9358,99.9251976918145
Same biological-SNP credible sets,4266,9358,45.5866638170549
Same biological lead-SNP set,8822,9358,94.2722804017953
Any shared SNP when both models reported CSs,9358,9358,100
