metric,count,denominator,percentage
Same number of credible sets,9086,9358,97.0933960247916
Same CS count and same biological lead SNP set,8936,9358,95.4904894208164
Different number of credible sets,272,9358,2.90660397520838
Both models reported at least one CS,9358,9358,100
Any shared SNP when both models reported CSs,9353,9358,99.9465697798675
