coding_pattern,count,percentage
A,9087,97.1040820688181
D,164,1.75251122034623
AD,71,0.758709125881599
AR,26,0.277837144689036
R,9,0.0961743962385125
RD,1,0.0106860440265014
none,0,0
ADR,0,0
