"gene","status","n_tissue_errors","n_nonconverged"
"DMTF1","finished",0,0
"DMTN","finished",0,0
"DMWD","finished",0,0
"DMXL1","finished",0,0
"DMXL2","finished",0,0
"DNA2","finished",0,0
"DNAAF1","finished",0,0
"DNAAF2","finished",0,0
"DNAAF3","finished",0,0
"DNAAF5","finished",0,0
"DNAH1","finished",0,0
"DNAH10","finished",0,0
"DNAH11","finished",0,0
"DNAH12","finished",0,0
"DNAH14","finished",0,0
"DNAH17","finished",0,0
"DNAH2","finished",0,0
"DNAH3","finished",0,0
"DNAH5","finished",0,0
"DNAH6","finished",0,0
"DNAH7","finished",0,0
"DNAH8","finished",0,0
"DNAH9","finished",0,0
"DNAI1","finished",0,0
"DNAI2","finished",0,0
"DNAJA1","finished",0,0
"DNAJA2","finished",0,0
"DNAJA3","finished",0,0
"DNAJA4","finished",0,0
"DNAJB1","finished",0,0
"DNAJB11","finished",0,0
"DNAJB12","finished",0,0
"DNAJB13","finished",0,0
"DNAJB14","finished",0,0
"DNAJB2","finished",0,0
"DNAJB4","finished",0,0
"DNAJB5","finished",0,0
"DNAJB6","finished",0,0
"DNAJB7","finished",0,0
"DNAJB8","finished",0,0
"DNAJB9","finished",0,0
"DNAJC1","finished",0,0
"DNAJC10","finished",0,0
"DNAJC11","finished",0,0
"DNAJC12","finished",0,0
"DNAJC13","finished",0,0
"DNAJC14","finished",0,0
"DNAJC15","finished",0,0
"DNAJC16","finished",0,0
"DNAJC17","finished",0,0
"DNAJC18","finished",0,0
"DNAJC19","finished",0,0
"DNAJC2","finished",0,0
"DNAJC21","finished",0,0
"DNAJC22","finished",0,0
"DNAJC24","finished",0,0
"DNAJC25","finished",0,0
"DNAJC27","finished",0,0
"DNAJC28","finished",0,0
"DNAJC3","finished",0,0
"DNAJC30","finished",0,0
"DNAJC4","finished",0,0
"DNAJC5","finished",0,0
"DNAJC5B","finished",0,0
"DNAJC5G","finished",0,0
"DNAJC6","finished",0,0
"DNAJC7","finished",0,0
"DNAJC8","finished",0,0
"DNAJC9","finished",0,0
"DNAL1","finished",0,0
"DNAL4","finished",0,0
"DNALI1","finished",0,0
"DNASE1","finished",0,0
"DNASE1L1","gene_error",0,0
"DNASE1L2","finished",0,0
"DNASE1L3","finished",0,0
"DNASE2","finished",0,0
"DNASE2B","finished",0,0
"DNER","finished",0,0
"DNHD1","finished",0,0
"DNLZ","finished",0,0
"DNM1","finished",0,0
"DNM1L","finished",0,0
"DNM2","finished",0,0
"DNM3","finished",0,0
"DNMBP","finished",0,0
"DNMT1","finished",0,0
"DNMT3A","finished",0,0
"DNMT3B","finished",0,0
"DNMT3L","finished",0,0
"DNPEP","finished",0,0
"DNPH1","finished",0,0
"DNTT","finished",0,0
"DNTTIP1","finished",0,0
"DNTTIP2","finished",0,0
"DOC2A","finished",0,0
"DOC2B","finished",0,0
"DOCK1","finished",0,0
"DOCK10","finished",0,0
"DOCK11","gene_error",0,0
