"gene","status","n_tissue_errors","n_nonconverged"
"ABLIM1","finished",0,0
"ABLIM2","finished",0,0
"ABLIM3","finished",0,0
"ABO","finished",0,0
"ABR","finished",0,0
"ABRA","finished",0,0
"ABRACL","finished",0,0
"ABT1","finished",0,0
"ABTB1","finished",0,0
"ABTB2","finished",0,0
"AC002456.2","finished",0,0
"AC034228.3","finished",0,0
"AC053503.6","finished",0,0
"AC068831.6","finished",0,0
"AC079741.2","finished",0,0
"AC138647.1","finished",0,0
"ACAA1","finished",0,0
"ACAA2","finished",0,0
"ACACA","finished",0,0
"ACACB","finished",0,0
"ACAD10","finished",0,0
"ACAD11","finished",0,0
"ACAD8","finished",0,0
"ACAD9","finished",0,0
"ACADL","finished",0,0
"ACADM","finished",0,0
"ACADS","finished",0,0
"ACADSB","finished",0,0
"ACADVL","finished",0,0
"ACAN","finished",0,0
"ACAP1","finished",0,0
"ACAP2","finished",0,0
"ACAP3","finished",0,0
"ACAT1","finished",0,0
"ACAT2","finished",0,0
"ACBD3","finished",0,0
"ACBD4","finished",0,0
"ACBD5","finished",0,0
"ACBD6","finished",0,0
"ACBD7","finished",0,0
"ACCS","finished",0,0
"ACCSL","finished",0,0
"ACD","finished",0,0
"ACE","finished",0,0
"ACE2","gene_error",0,0
"ACER1","finished",0,0
"ACER2","finished",0,0
"ACER3","finished",0,0
"ACHE","finished",0,0
"ACIN1","finished",0,0
"ACKR1","finished",0,0
"ACKR2","finished",0,0
"ACKR3","finished",0,0
"ACKR4","finished",0,0
"ACLY","finished",0,0
"ACMSD","finished",0,0
"ACO1","finished",0,0
"ACO2","finished",0,0
"ACOD1","finished",0,0
"ACOT1","finished",0,0
"ACOT11","finished",0,0
"ACOT12","finished",0,0
"ACOT13","finished",0,0
"ACOT2","finished",0,0
"ACOT4","finished",0,0
"ACOT6","finished",0,0
"ACOT7","finished",0,0
"ACOT8","finished",0,0
"ACOT9","gene_error",0,0
"ACOX1","finished",0,0
"ACOX2","finished",0,0
"ACOX3","finished",0,0
"ACOXL","finished",0,0
"ACP1","finished",0,0
"ACP2","finished",0,0
"ACP5","finished",0,0
"ACP6","finished",0,0
"ACP7","finished",0,0
"ACR","finished",0,0
"ACRBP","finished",0,0
"ACRV1","finished",0,0
"ACSBG1","finished",0,0
"ACSBG2","finished",0,0
"ACSF2","finished",0,0
"ACSF3","finished",0,0
"ACSL1","finished",0,0
"ACSL3","finished",0,0
"ACSL4","gene_error",0,0
"ACSL5","finished",0,0
"ACSL6","finished",0,0
"ACSM1","finished",0,0
"ACSM2A","finished",0,0
"ACSM2B","finished",0,0
"ACSM3","finished",0,0
"ACSM4","finished",0,0
"ACSM5","finished",0,0
"ACSM6","finished",0,0
"ACSS1","finished",0,0
"ACSS2","finished",0,0
"ACSS3","finished",0,0
