"gene","status","n_tissue_errors","n_nonconverged"
"GOLPH3L","finished",0,0
"GOLT1A","finished",0,0
"GOLT1B","finished",0,0
"GON4L","finished",0,0
"GON7","finished",0,0
"GOPC","finished",0,0
"GORAB","finished",0,0
"GORASP1","finished",0,0
"GORASP2","finished",0,0
"GOSR1","finished",0,0
"GOSR2","finished",0,0
"GOT1","finished",0,0
"GOT1L1","finished",0,0
"GOT2","finished",0,0
"GP1BA","finished",0,0
"GP2","finished",0,0
"GP5","finished",0,0
"GP6","finished",0,0
"GP9","finished",0,0
"GPA33","finished",0,0
"GPAA1","finished",0,0
"GPALPP1","finished",0,0
"GPAM","finished",0,0
"GPANK1","finished",0,0
"GPAT2","finished",0,0
"GPAT3","finished",0,0
"GPAT4","finished",0,0
"GPATCH1","finished",0,0
"GPATCH11","finished",0,0
"GPATCH2","finished",0,0
"GPATCH2L","finished",0,0
"GPATCH3","finished",0,0
"GPATCH4","finished",0,0
"GPATCH8","finished",0,0
"GPBAR1","finished",0,0
"GPBP1","finished",0,0
"GPBP1L1","finished",0,0
"GPC1","finished",0,0
"GPC2","finished",0,0
"GPC3","gene_error",0,0
"GPC4","gene_error",0,0
"GPC5","finished",0,0
"GPC6","finished",0,0
"GPCPD1","finished",0,0
"GPD1","finished",0,0
"GPD1L","finished",0,0
"GPD2","finished",0,0
"GPER1","finished",0,0
"GPHA2","finished",0,0
"GPHB5","finished",0,0
"GPHN","finished",0,0
"GPI","finished",0,0
"GPIHBP1","finished",0,0
"GPKOW","gene_error",0,0
"GPLD1","finished",0,0
"GPM6A","finished",0,0
"GPM6B","gene_error",0,0
"GPN1","finished",0,0
"GPN2","finished",0,0
"GPN3","finished",0,0
"GPNMB","finished",0,0
"GPR1","finished",0,0
"GPR101","gene_error",0,0
"GPR107","finished",0,0
"GPR108","finished",0,0
"GPR119","gene_error",0,0
"GPR12","finished",0,0
"GPR132","finished",0,0
"GPR135","finished",0,0
"GPR137","finished",0,0
"GPR137B","finished",0,0
"GPR137C","finished",0,0
"GPR139","finished",0,0
"GPR141","finished",0,0
"GPR142","finished",0,0
"GPR143","gene_error",0,0
"GPR146","finished",0,0
"GPR148","finished",0,0
"GPR149","finished",0,0
"GPR15","finished",0,0
"GPR150","finished",0,0
"GPR151","finished",0,0
"GPR152","finished",0,0
"GPR153","finished",0,0
"GPR155","finished",0,0
"GPR156","finished",0,0
"GPR157","finished",0,0
"GPR158","finished",0,0
"GPR160","finished",0,0
"GPR161","finished",0,0
"GPR162","finished",0,0
"GPR17","finished",0,0
"GPR171","finished",0,0
"GPR173","gene_error",0,0
"GPR174","gene_error",0,0
"GPR176","finished",0,0
"GPR179","finished",0,0
"GPR18","finished",0,0
"GPR180","finished",0,0
"GPR182","finished",0,0
