"scope","pve","K","called_coding","bin","n_leads","sum_lead_pip","n_exact","mean_lead_pip","exact_accuracy"
"All simulations",0.1,1,"additive",10,27,25.9697636893455,26,0.961843099605391,0.962962962962963
"Additive only",0.2,1,"additive",10,75,73.4097348066048,73,0.978796464088064,0.973333333333333
"All simulations",0.2,1,"additive",10,77,75.2581864671834,73,0.977379045028356,0.948051948051948
"Additive only",0.3,1,"additive",10,111,109.418103731091,107,0.985748682262084,0.963963963963964
"All simulations",0.3,1,"additive",10,113,111.318986857731,107,0.985123777502046,0.946902654867257
"Additive only",0.4,1,"additive",10,137,135.371078458494,133,0.988110061740835,0.970802919708029
"All simulations",0.4,1,"additive",10,139,137.283172831479,133,0.987648725406325,0.956834532374101
"Additive only",0.1,2,"additive",10,21,20.2235196016508,17,0.963024742935755,0.80952380952381
"All simulations",0.1,2,"additive",10,42,40.4688246082074,35,0.963543443052557,0.833333333333333
"Additive only",0.2,2,"additive",10,79,76.9276532212481,72,0.973767762294279,0.911392405063291
"All simulations",0.2,2,"additive",10,157,152.795981484145,143,0.973222812000924,0.910828025477707
"Additive only",0.3,2,"additive",10,139,136.012243982813,130,0.978505352394341,0.935251798561151
"All simulations",0.3,2,"additive",10,279,272.78343165335,256,0.97771839302276,0.917562724014337
"Additive only",0.4,2,"additive",10,183,180.92781188834,173,0.988676567695848,0.945355191256831
"All simulations",0.4,2,"additive",10,344,340.067616292472,325,0.988568652013001,0.944767441860465
"Additive only",0.1,3,"additive",10,4,3.78107410212335,3,0.945268525530839,0.75
"All simulations",0.1,3,"additive",10,23,21.8508216299729,14,0.950035723042298,0.608695652173913
"Additive only",0.2,3,"additive",10,53,51.1998250250159,47,0.966034434434263,0.886792452830189
"All simulations",0.2,3,"additive",10,184,178.378322302233,156,0.969447403816484,0.847826086956522
"Additive only",0.3,3,"additive",10,109,106.474990640587,106,0.976834776519143,0.972477064220184
"All simulations",0.3,3,"additive",10,380,371.580077924621,347,0.977842310327951,0.913157894736842
"Additive only",0.4,3,"additive",10,178,174.653470125392,171,0.981199270367373,0.960674157303371
"All simulations",0.4,3,"additive",10,554,544.780555476879,515,0.983358403387868,0.929602888086643
"Additive only",0.1,4,"additive",10,5,4.79819108722072,4,0.959638217444143,0.8
"All simulations",0.1,4,"additive",10,23,21.8658254723679,22,0.950688064015996,0.956521739130435
"Additive only",0.2,4,"additive",10,34,32.9675945896682,32,0.969635134990242,0.941176470588235
"All simulations",0.2,4,"additive",10,219,211.397103887952,193,0.965283579397043,0.881278538812785
"Additive only",0.3,4,"additive",10,112,108.777181083662,105,0.971224831104127,0.9375
"All simulations",0.3,4,"additive",10,531,517.117049013868,489,0.973855082888641,0.92090395480226
"Additive only",0.4,4,"additive",10,179,175.528235706646,166,0.980604668752214,0.927374301675978
