"scenario","pve","K","method","n_cs","covered_cs","purity_sum","recovered","n_causal","n_replicates","n_configurations","coverage","purity","power"
"Additive only",0.2,4,"SuSiE-mix",952,877,795.736544128536,891,1600,400,1,0.921218487394958,0.835857714420731,0.556875
"Additive only",0.2,5,"SuSiE",1026,894,879.335076056572,922,2000,400,1,0.871345029239766,0.857051731049291,0.461
"Additive only",0.2,5,"SuSiE-mix",884,783,730.770967851686,811,2000,400,1,0.885746606334842,0.82666399078245,0.4055
"Additive only",0.3,1,"SuSiE",401,387,395.342039001685,387,400,400,1,0.965087281795511,0.985890371575273,0.9675
"Additive only",0.3,1,"SuSiE-mix",400,387,393.962201802134,387,400,400,1,0.9675,0.984905504505334,0.9675
"Additive only",0.3,2,"SuSiE",788,749,762.92705645789,750,798,399,1,0.950507614213198,0.968181543728287,0.93984962406015
"Additive only",0.3,2,"SuSiE-mix",787,747,753.898898858262,750,798,399,1,0.949174078780178,0.957940151027017,0.93984962406015
"Additive only",0.3,3,"SuSiE",1120,1037,1055.78652248577,1043,1200,400,1,0.925892857142857,0.942666537933722,0.869166666666667
"Additive only",0.3,3,"SuSiE-mix",1106,1029,1018.78534479224,1035,1200,400,1,0.930379746835443,0.921144073049037,0.8625
"Additive only",0.3,4,"SuSiE",1384,1282,1278.27163376153,1292,1600,400,1,0.926300578034682,0.923606671793014,0.8075
"Additive only",0.3,4,"SuSiE-mix",1356,1261,1218.18828868268,1271,1600,400,1,0.929941002949852,0.898368944456253,0.794375
"Additive only",0.3,5,"SuSiE",1543,1379,1395.93086058342,1396,2000,400,1,0.893713545042126,0.904686234986014,0.698
"Additive only",0.3,5,"SuSiE-mix",1453,1304,1273.74493550385,1321,2000,400,1,0.897453544390915,0.876631063664039,0.6605
"Additive only",0.4,1,"SuSiE",401,385,397.694944153382,385,400,400,1,0.960099750623441,0.99175796546978,0.9625
"Additive only",0.4,1,"SuSiE-mix",400,385,396.806199243516,385,400,400,1,0.9625,0.99201549810879,0.9625
"Additive only",0.4,2,"SuSiE",799,750,784.130551634012,751,798,399,1,0.938673341677096,0.981389926951204,0.941102756892231
"Additive only",0.4,2,"SuSiE-mix",795,748,777.238527596665,750,798,399,1,0.940880503144654,0.977658525278823,0.93984962406015
"Additive only",0.4,3,"SuSiE",1157,1076,1120.78928500365,1081,1200,400,1,0.929991356957649,0.968702925672987,0.900833333333333
"Additive only",0.4,3,"SuSiE-mix",1152,1079,1105.39037798141,1084,1200,400,1,0.936631944444444,0.959540258664419,0.903333333333333
"Additive only",0.4,4,"SuSiE",1468,1368,1400.66007994654,1374,1600,400,1,0.931880108991826,0.954128119854594,0.85875
"Additive only",0.4,4,"SuSiE-mix",1455,1355,1365.4608658838,1363,1600,400,1,0.93127147766323,0.938461076208794,0.851875
