"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.4,3,"recessive",0,0.095398134245568,0.095398134245568,0.0816385236487983,0.107275783828012,162.983545112174,400,400,0
"Additive only","add3_rec0_dom0","add3_rec0_dom0",FALSE,0.4,3,"dominant",0,0.179631805546264,0.179631805546264,0.163250011152132,0.192420906862847,306.893092976722,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.1,4,"additive",1,0.417555233126952,-0.582444766873048,0.411027721696129,0.425289126182916,1099.65810804713,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.1,4,"recessive",0,0.235993262060869,0.235993262060869,0.230183360462737,0.24102294023703,621.503177259487,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.1,4,"dominant",0,0.34645150481218,0.34645150481218,0.341093526339094,0.351248989559949,912.401943711271,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.2,4,"additive",1,0.578964296238918,-0.421035703761082,0.563531781087701,0.595940440077729,1193.2909411752,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.2,4,"recessive",0,0.135918545963817,0.135918545963817,0.124988415670545,0.146044641469517,280.138811132143,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.2,4,"dominant",0,0.285117157797265,0.285117157797265,0.274602211156778,0.294927398016984,587.648882294281,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.3,4,"additive",1,0.684480469484244,-0.315519530515756,0.665942119107756,0.704848652259425,1360.34505417881,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.3,4,"recessive",0,0.0908812524846364,0.0908812524846364,0.0796720178682306,0.102623343955312,180.618538945612,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.3,4,"dominant",0,0.224638278031119,0.224638278031119,0.212121444895968,0.23619451293054,446.448926043332,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.4,4,"additive",1,0.732630778179839,-0.267369221820161,0.714452342549492,0.754109443795673,1472.16916615607,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.4,4,"recessive",0,0.0807039730365369,0.0807039730365369,0.0705192869040767,0.0906883949199117,162.168863538403,400,400,0
"Additive only","add4_rec0_dom0","add4_rec0_dom0",FALSE,0.4,4,"dominant",0,0.186665248783624,0.186665248783624,0.174865944866641,0.197951200207043,375.0904709939,400,400,0
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.1,5,"additive",1,0.401653530017662,-0.598346469982338,0.396723029086755,0.407467675947751,1272.69964223634,400,400,0
