"scenario","configuration","design","all_additive","pve","K","n_runs","sum_lead_pip","n_exact","n_wrong_coding","n_wrong_snp","n_ambiguous","n_no_support","n_lead_additive","n_lead_recessive","n_lead_dominant","n_unique","mean_lead_pip","fraction_exact","fraction_wrong_coding","fraction_wrong_snp","fraction_ambiguous","fraction_no_support","exact_accuracy_unique","share_unique_additive","share_unique_recessive","share_unique_dominant"
"Additive + Recessive","add3_rec2_dom0","add3_rec2_dom0",FALSE,0.3,5,400,276.035898112484,247,15,101,37,0,195,148,20,363,0.690089745281209,0.6175,0.0375,0.2525,0.0925,0,0.680440771349862,0.537190082644628,0.40771349862259,0.0550964187327824
"Additive + Dominant","add4_rec0_dom1","add4_rec0_dom1",FALSE,0.3,5,400,247.806101439445,203,16,133,48,0,256,3,93,352,0.619515253598614,0.5075,0.04,0.3325,0.12,0,0.576704545454545,0.727272727272727,0.00852272727272727,0.264204545454545
"Additive + Recessive","add4_rec1_dom0","add4_rec1_dom0",FALSE,0.3,5,400,267.977549934289,228,17,115,40,0,259,84,17,360,0.669943874835721,0.57,0.0425,0.2875,0.1,0,0.633333333333333,0.719444444444444,0.233333333333333,0.0472222222222222
"Additive only","add5_rec0_dom0","add5_rec0_dom0",FALSE,0.3,5,400,247.720614297692,201,18,132,49,0,313,0,38,351,0.61930153574423,0.5025,0.045,0.33,0.1225,0,0.572649572649573,0.891737891737892,0,0.108262108262108
"Dominant only","add0_rec0_dom5","add0_rec0_dom5",FALSE,0.4,5,400,296.54003598669,261,13,75,51,0,24,3,322,349,0.741350089966724,0.6525,0.0325,0.1875,0.1275,0,0.747851002865329,0.0687679083094556,0.00859598853868195,0.922636103151863
"Recessive + Dominant","add0_rec1_dom4","add0_rec1_dom4",FALSE,0.4,5,400,313.333302103875,276,11,80,33,0,27,79,261,367,0.783333255259688,0.69,0.0275,0.2,0.0825,0,0.752043596730245,0.0735694822888283,0.215258855585831,0.711171662125341
"Recessive + Dominant","add0_rec2_dom3","add0_rec2_dom3",FALSE,0.4,5,400,317.967788368067,301,11,61,27,0,24,160,189,373,0.794919470920167,0.7525,0.0275,0.1525,0.0675,0,0.806970509383378,0.064343163538874,0.428954423592493,0.506702412868633
"Recessive + Dominant","add0_rec3_dom2","add0_rec3_dom2",FALSE,0.4,5,400,321.576389007258,305,4,55,36,0,15,241,108,364,0.803940972518144,0.7625,0.01,0.1375,0.09,0,0.837912087912088,0.0412087912087912,0.662087912087912,0.296703296703297
"Recessive + Dominant","add0_rec4_dom1","add0_rec4_dom1",FALSE,0.4,5,400,323.346806050362,300,4,53,43,0,8,288,61,357,0.808367015125904,0.75,0.01,0.1325,0.1075,0,0.840336134453782,0.0224089635854342,0.80672268907563,0.170868347338936
"Recessive only","add0_rec5_dom0","add0_rec5_dom0",FALSE,0.4,5,400,325.761323590686,303,0,45,52,0,1,347,0,348,0.814403308976715,0.7575,0,0.1125,0.13,0,0.870689655172414,0.0028735632183908,0.997126436781609,0
"Additive + Dominant","add1_rec0_dom4","add1_rec0_dom4",FALSE,0.4,5,400,294.384712761307,263,12,73,52,0,86,2,260,348,0.735961781903268,0.6575,0.03,0.1825,0.13,0,0.755747126436782,0.247126436781609,0.00574712643678161,0.747126436781609
"Additive + Recessive + Dominant","add1_rec1_dom3","add1_rec1_dom3",FALSE,0.4,5,400,308.053962612422,289,12,67,32,0,69,93,206,368,0.770134906531056,0.7225,0.03,0.1675,0.08,0,0.785326086956522,0.1875,0.252717391304348,0.559782608695652
"Additive + Recessive + Dominant","add1_rec2_dom2","add1_rec2_dom2",FALSE,0.4,5,400,314.324083039822,294,8,65,33,0,71,176,120,367,0.785810207599554,0.735,0.02,0.1625,0.0825,0,0.801089918256131,0.193460490463215,0.479564032697548,0.326975476839237
"Additive + Recessive + Dominant","add1_rec3_dom1","add1_rec3_dom1",FALSE,0.4,5,400,318.760945421446,307,4,50,39,0,57,238,66,361,0.796902363553614,0.7675,0.01,0.125,0.0975,0,0.850415512465374,0.157894736842105,0.659279778393352,0.182825484764543
"Additive + Recessive","add1_rec4_dom0","add1_rec4_dom0",FALSE,0.4,5,400,321.28214054752,306,4,45,45,0,47,302,6,355,0.803205351368801,0.765,0.01,0.1125,0.1125,0,0.861971830985915,0.132394366197183,0.850704225352113,0.0169014084507042
"Additive + Dominant","add2_rec0_dom3","add2_rec0_dom3",FALSE,0.4,5,400,293.293962692792,261,13,82,44,0,148,1,207,356,0.733234906731979,0.6525,0.0325,0.205,0.11,0,0.73314606741573,0.415730337078652,0.00280898876404494,0.581460674157303
"Additive + Recessive + Dominant","add2_rec1_dom2","add2_rec1_dom2",FALSE,0.4,5,400,311.038904846256,271,13,83,33,0,133,101,133,367,0.77759726211564,0.6775,0.0325,0.2075,0.0825,0,0.73841961852861,0.362397820163488,0.275204359673025,0.362397820163488
"Additive + Recessive + Dominant","add2_rec2_dom1","add2_rec2_dom1",FALSE,0.4,5,400,319.526187086391,290,9,68,33,0,125,170,72,367,0.798815467715977,0.725,0.0225,0.17,0.0825,0,0.790190735694823,0.340599455040872,0.463215258855586,0.196185286103542
"Additive + Recessive","add2_rec3_dom0","add2_rec3_dom0",FALSE,0.4,5,400,320.202943682626,296,8,62,34,0,110,247,9,366,0.800507359206564,0.74,0.02,0.155,0.085,0,0.808743169398907,0.300546448087432,0.674863387978142,0.0245901639344262
"Additive + Dominant","add3_rec0_dom2","add3_rec0_dom2",FALSE,0.4,5,400,295.622341732244,260,11,91,38,0,210,1,151,362,0.739055854330609,0.65,0.0275,0.2275,0.095,0,0.718232044198895,0.580110497237569,0.00276243093922652,0.417127071823204
"Additive + Recessive + Dominant","add3_rec1_dom1","add3_rec1_dom1",FALSE,0.4,5,400,314.612147055373,280,10,85,25,0,212,84,79,375,0.786530367638433,0.7,0.025,0.2125,0.0625,0,0.746666666666667,0.565333333333333,0.224,0.210666666666667
"Additive + Recessive","add3_rec2_dom0","add3_rec2_dom0",FALSE,0.4,5,400,317.074678965601,290,9,70,31,0,195,161,13,369,0.792686697414003,0.725,0.0225,0.175,0.0775,0,0.785907859078591,0.528455284552846,0.436314363143631,0.035230352303523
"Additive + Dominant","add4_rec0_dom1","add4_rec0_dom1",FALSE,0.4,5,400,295.159054231438,254,13,93,40,0,267,1,92,360,0.737897635578594,0.635,0.0325,0.2325,0.1,0,0.705555555555556,0.741666666666667,0.00277777777777778,0.255555555555556
