"gene","status","n_tissue_errors","n_nonconverged"
"PRR5","finished",0,0
"PRR5L","finished",0,0
"PRR7","finished",0,0
"PRR9","finished",0,0
"PRRC1","finished",0,0
"PRRC2A","finished",0,0
"PRRC2C","finished",0,0
"PRRG1","gene_error",0,0
"PRRG2","finished",0,0
"PRRG3","gene_error",0,0
"PRRG4","finished",0,0
"PRRT1","finished",0,0
"PRRT2","finished",0,0
"PRRT3","finished",0,0
"PRRT4","finished",0,0
"PRRX1","finished",0,0
"PRRX2","finished",0,0
"PRSS1","finished",0,0
"PRSS12","finished",0,0
"PRSS16","finished",0,0
"PRSS2","finished",0,0
"PRSS21","finished",0,0
"PRSS22","finished",0,0
"PRSS23","finished",0,0
"PRSS27","finished",0,0
"PRSS3","finished",0,0
"PRSS33","finished",0,0
"PRSS35","finished",0,0
"PRSS36","finished",0,0
"PRSS37","finished",0,0
"PRSS38","finished",0,0
"PRSS41","finished",0,0
"PRSS48","finished",0,0
"PRSS51","finished",0,0
"PRSS53","finished",0,0
"PRSS54","finished",0,0
"PRSS55","finished",0,0
"PRSS56","finished",0,0
"PRSS57","finished",0,0
"PRSS58","finished",0,0
"PRSS8","finished",0,0
"PRTFDC1","finished",0,0
"PRTG","finished",0,0
"PRTN3","finished",0,0
"PRUNE1","finished",0,0
"PRUNE2","finished",0,0
"PRX","finished",0,0
"PRY","gene_error",0,0
"PRY2","gene_error",0,0
"PRYP3","gene_error",0,0
"PSAP","finished",0,0
"PSAPL1","finished",0,0
"PSAT1","finished",0,0
"PSCA","finished",0,0
"PSD","finished",0,0
"PSD2","finished",0,0
"PSD3","finished",0,0
"PSD4","finished",0,0
"PSEN1","finished",0,0
"PSEN2","finished",0,0
"PSENEN","finished",0,0
"PSG1","finished",0,0
"PSG11","finished",0,0
"PSG2","finished",0,0
"PSG3","finished",0,0
"PSG4","finished",0,0
"PSG5","finished",0,0
"PSG6","finished",0,0
"PSG7","finished",0,0
"PSG8","finished",0,0
"PSG9","finished",0,0
"PSIP1","finished",0,0
"PSKH1","finished",0,0
"PSKH2","finished",0,0
"PSMA1","finished",0,0
"PSMA2","finished",0,0
"PSMA3","finished",0,0
"PSMA4","finished",0,0
"PSMA5","finished",0,0
"PSMA6","finished",0,0
"PSMA7","finished",0,0
"PSMA8","finished",0,0
"PSMB1","finished",0,0
"PSMB10","finished",0,0
"PSMB11","finished",0,0
"PSMB2","finished",0,0
"PSMB3","finished",0,0
"PSMB4","finished",0,0
"PSMB5","finished",0,0
"PSMB6","finished",0,0
"PSMB7","finished",0,0
"PSMB8","finished",0,0
"PSMB9","finished",0,0
"PSMC1","finished",0,0
"PSMC2","finished",0,0
"PSMC3","finished",0,0
"PSMC3IP","finished",0,0
"PSMC4","finished",0,0
"PSMC5","finished",0,0
"PSMC6","finished",0,0
