"gene","status","n_tissue_errors","n_nonconverged"
"EGR3","finished",0,0
"EGR4","finished",0,0
"EHBP1","finished",0,0
"EHBP1L1","finished",0,0
"EHD1","finished",0,0
"EHD2","finished",0,0
"EHD3","finished",0,0
"EHD4","finished",0,0
"EHF","finished",0,0
"EHHADH","finished",0,0
"EHMT1","finished",0,0
"EHMT2","finished",0,0
"EI24","finished",0,0
"EID1","finished",0,0
"EID2","finished",0,0
"EID2B","finished",0,0
"EID3","finished",0,0
"EIF1","finished",0,0
"EIF1AD","finished",0,0
"EIF1AX","gene_error",0,0
"EIF1AY","gene_error",0,0
"EIF1B","finished",0,0
"EIF2A","finished",0,0
"EIF2AK1","finished",0,0
"EIF2AK2","finished",0,0
"EIF2AK3","finished",0,0
"EIF2AK4","finished",0,0
"EIF2B1","finished",0,0
"EIF2B2","finished",0,0
"EIF2B3","finished",0,0
"EIF2B4","finished",0,0
"EIF2B5","finished",0,0
"EIF2D","finished",0,0
"EIF2S1","finished",0,0
"EIF2S2","finished",0,0
"EIF2S3","gene_error",0,0
"EIF3A","finished",0,0
"EIF3B","finished",0,0
"EIF3C","finished",0,0
"EIF3CL","finished",0,0
"EIF3D","finished",0,0
"EIF3E","finished",0,0
"EIF3F","finished",0,0
"EIF3G","finished",0,0
"EIF3H","finished",0,0
"EIF3I","finished",0,0
"EIF3J","finished",0,0
"EIF3K","finished",0,0
"EIF3L","finished",0,0
"EIF3M","finished",0,0
"EIF4A1","finished",0,0
"EIF4A2","finished",0,0
"EIF4A3","finished",0,0
"EIF4B","finished",0,0
"EIF4E","finished",0,0
"EIF4E1B","finished",0,0
"EIF4E2","finished",0,0
"EIF4E3","finished",0,0
"EIF4EBP1","finished",0,0
"EIF4EBP2","finished",0,0
"EIF4EBP3","finished",0,0
"EIF4ENIF1","finished",0,0
"EIF4G1","finished",0,0
"EIF4G2","finished",0,0
"EIF4G3","finished",0,0
"EIF4H","finished",0,0
"EIF5","finished",0,0
"EIF5A","finished",0,0
"EIF5A2","finished",0,0
"EIF5AL1","finished",0,0
"EIF5B","finished",0,0
"EIF6","finished",0,0
"ELAC1","finished",0,0
"ELAC2","finished",0,0
"ELANE","finished",0,0
"ELAVL1","finished",0,0
"ELAVL2","finished",0,0
"ELAVL3","finished",0,0
"ELAVL4","finished",0,0
"ELF1","finished",0,0
"ELF2","finished",0,0
"ELF3","finished",0,0
"ELF4","gene_error",0,0
"ELF5","finished",0,0
"ELFN1","finished",0,0
"ELFN2","finished",0,0
"ELK1","gene_error",0,0
"ELK3","finished",0,0
"ELK4","finished",0,0
"ELL","finished",0,0
"ELL2","finished",0,0
"ELL3","finished",0,0
"ELMO1","finished",0,0
"ELMO2","finished",0,0
"ELMO3","finished",0,0
"ELMOD1","finished",0,0
"ELMOD2","finished",0,0
"ELMOD3","finished",0,0
"ELN","finished",0,0
"ELOA","finished",0,0
