"gene","status","n_tissue_errors","n_nonconverged"
"GRIN2D","finished",0,0
"GRIN3A","finished",0,0
"GRIN3B","finished",0,0
"GRINA","finished",0,0
"GRIP1","finished",0,0
"GRIP2","finished",0,0
"GRIPAP1","gene_error",0,0
"GRK1","finished",0,0
"GRK2","finished",0,0
"GRK3","finished",0,0
"GRK4","finished",0,0
"GRK5","finished",0,0
"GRK6","finished",0,0
"GRK7","finished",0,0
"GRM1","finished",0,0
"GRM2","finished",0,0
"GRM3","finished",0,0
"GRM4","finished",0,0
"GRM5","finished",0,0
"GRM6","finished",0,0
"GRM7","finished",0,0
"GRM8","finished",0,0
"GRN","finished",0,0
"GRP","finished",0,0
"GRPEL1","finished",0,0
"GRPEL2","finished",0,0
"GRPR","gene_error",0,0
"GRSF1","finished",0,0
"GRTP1","finished",0,0
"GRWD1","finished",0,0
"GRXCR1","finished",0,0
"GRXCR2","finished",0,0
"GSAP","finished",0,0
"GSC","finished",0,0
"GSC2","finished",0,0
"GSDMA","finished",0,0
"GSDMB","finished",0,0
"GSDMC","finished",0,0
"GSDMD","finished",0,0
"GSE1","finished",0,0
"GSG1","finished",0,0
"GSG1L","finished",0,0
"GSG1L2","finished",0,0
"GSK3A","finished",0,0
"GSK3B","finished",0,0
"GSKIP","finished",0,0
"GSN","finished",0,0
"GSPT1","finished",0,0
"GSPT2","gene_error",0,0
"GSR","finished",0,0
"GSS","finished",0,0
"GSTA1","finished",0,0
"GSTA2","finished",0,0
"GSTA3","finished",0,0
"GSTA4","finished",0,0
"GSTA5","finished",0,0
"GSTCD","finished",0,0
"GSTK1","finished",0,0
"GSTM1","finished",0,0
"GSTM2","finished",0,0
"GSTM3","finished",0,0
"GSTM4","finished",0,0
"GSTM5","finished",0,0
"GSTO1","finished",0,0
"GSTO2","finished",0,0
"GSTP1","finished",0,0
"GSTT2B","finished",0,0
"GSTZ1","finished",0,0
"GSX1","finished",0,0
"GSX2","finished",0,0
"GTDC1","finished",0,0
"GTF2A1","finished",0,0
"GTF2A1L","finished",0,0
"GTF2A2","finished",0,0
"GTF2B","finished",0,0
"GTF2E1","finished",0,0
"GTF2E2","finished",0,0
"GTF2F1","finished",0,0
"GTF2F2","finished",0,0
"GTF2H1","finished",0,0
"GTF2H2","finished",0,0
"GTF2H2C","finished",0,0
"GTF2H3","finished",0,0
"GTF2H4","finished",0,0
"GTF2H5","finished",0,0
"GTF2I","finished",0,0
"GTF2IRD1","finished",0,0
"GTF2IRD2","finished",0,0
"GTF2IRD2B","finished",0,0
"GTF3A","finished",0,0
"GTF3C1","finished",0,0
"GTF3C2","finished",0,0
"GTF3C3","finished",0,0
"GTF3C4","finished",0,0
"GTF3C5","finished",0,0
"GTF3C6","finished",0,0
"GTPBP1","finished",0,0
"GTPBP10","finished",0,0
"GTPBP2","finished",0,0
"GTPBP3","finished",0,0
