"gene","status","n_tissue_errors","n_nonconverged"
"RIMBP3C","finished",0,0
"RIMKLA","finished",0,0
"RIMKLB","finished",0,0
"RIMS1","finished",0,0
"RIMS2","finished",0,0
"RIMS3","finished",0,0
"RIMS4","finished",0,0
"RIN1","finished",0,0
"RIN2","finished",0,0
"RIN3","finished",0,0
"RING1","finished",0,0
"RINL","finished",0,0
"RINT1","finished",0,0
"RIOK1","finished",0,0
"RIOK2","finished",0,0
"RIOK3","finished",0,0
"RIOX1","finished",0,0
"RIOX2","finished",0,0
"RIPK1","finished",0,0
"RIPK2","finished",0,0
"RIPK3","finished",0,0
"RIPK4","finished",0,0
"RIPPLY1","gene_error",0,0
"RIPPLY2","finished",0,0
"RIPPLY3","finished",0,0
"RIT1","finished",0,0
"RIT2","finished",0,0
"RITA1","finished",0,0
"RLBP1","finished",0,0
"RLF","finished",0,0
"RLIM","gene_error",0,0
"RLN1","finished",0,0
"RLN2","finished",0,0
"RLN3","finished",0,0
"RMDN1","finished",0,0
"RMDN2","finished",0,0
"RMDN3","finished",0,0
"RMI1","finished",0,0
"RMI2","finished",0,0
"RMND1","finished",0,0
"RMND5A","finished",0,0
"RMND5B","finished",0,0
"RNASE1","finished",0,0
"RNASE10","finished",0,0
"RNASE11","finished",0,0
"RNASE12","finished",0,0
"RNASE13","finished",0,0
"RNASE2","finished",0,0
"RNASE3","finished",0,0
"RNASE4","finished",0,0
"RNASE6","finished",0,0
"RNASE7","finished",0,0
"RNASE8","finished",0,0
"RNASE9","finished",0,0
"RNASEH1","finished",0,0
"RNASEH2A","finished",0,0
"RNASEH2B","finished",0,0
"RNASEH2C","finished",0,0
"RNASEK","finished",0,0
"RNASEL","finished",0,0
"RNASET2","finished",0,0
"RND1","finished",0,0
"RND2","finished",0,0
"RND3","finished",0,0
"RNF10","finished",0,0
"RNF103","finished",0,0
"RNF11","finished",0,0
"RNF111","finished",0,0
"RNF112","finished",0,0
"RNF113A","gene_error",0,0
"RNF113B","finished",0,0
"RNF114","finished",0,0
"RNF115","finished",0,0
"RNF121","finished",0,0
"RNF122","finished",0,0
"RNF123","finished",0,0
"RNF125","finished",0,0
"RNF126","finished",0,0
"RNF128","gene_error",0,0
"RNF13","finished",0,0
"RNF130","finished",0,0
"RNF133","finished",0,0
"RNF135","finished",0,0
"RNF138","finished",0,0
"RNF139","finished",0,0
"RNF14","finished",0,0
"RNF141","finished",0,0
"RNF144A","finished",0,0
"RNF144B","finished",0,0
"RNF145","finished",0,0
"RNF146","finished",0,0
"RNF148","finished",0,0
"RNF149","finished",0,0
"RNF150","finished",0,0
"RNF151","finished",0,0
"RNF152","finished",0,0
"RNF157","finished",0,0
"RNF165","finished",0,0
"RNF166","finished",0,0
"RNF167","finished",0,0
