"gene","status","n_tissue_errors","n_nonconverged"
"GIMAP7","finished",0,0
"GIMAP8","finished",0,0
"GIMD1","finished",0,0
"GIN1","finished",0,0
"GINM1","finished",0,0
"GINS1","finished",0,0
"GINS2","finished",0,0
"GINS3","finished",0,0
"GINS4","finished",0,0
"GIP","finished",0,0
"GIPC1","finished",0,0
"GIPC2","finished",0,0
"GIPC3","finished",0,0
"GIPR","finished",0,0
"GIT1","finished",0,0
"GIT2","finished",0,0
"GJA1","finished",0,0
"GJA10","finished",0,0
"GJA3","finished",0,0
"GJA4","finished",0,0
"GJA5","finished",0,0
"GJA8","finished",0,0
"GJA9","finished",0,0
"GJB1","gene_error",0,0
"GJB2","finished",0,0
"GJB3","finished",0,0
"GJB4","finished",0,0
"GJB5","finished",0,0
"GJB6","finished",0,0
"GJB7","finished",0,0
"GJC1","finished",0,0
"GJC2","finished",0,0
"GJC3","finished",0,0
"GJD2","finished",0,0
"GJD3","finished",0,0
"GJD4","finished",0,0
"GJE1","finished",0,0
"GK","gene_error",0,0
"GK2","finished",0,0
"GK3P","finished",0,0
"GK5","finished",0,0
"GKAP1","finished",0,0
"GKN1","finished",0,0
"GKN2","finished",0,0
"GLA","gene_error",0,0
"GLB1","finished",0,0
"GLB1L","finished",0,0
"GLB1L2","finished",0,0
"GLB1L3","finished",0,0
"GLCCI1","finished",0,0
"GLCE","finished",0,0
"GLDC","finished",0,0
"GLDN","finished",0,0
"GLE1","finished",0,0
"GLG1","finished",0,0
"GLI1","finished",0,0
"GLI2","finished",0,0
"GLI3","finished",0,0
"GLI4","finished",0,0
"GLIPR1","finished",0,0
"GLIPR1L1","finished",0,0
"GLIPR1L2","finished",0,0
"GLIPR2","finished",0,0
"GLIS1","finished",0,0
"GLIS2","finished",0,0
"GLIS3","finished",0,0
"GLMN","finished",0,0
"GLMP","finished",0,0
"GLO1","finished",0,0
"GLOD4","finished",0,0
"GLOD5","gene_error",0,0
"GLP1R","finished",0,0
"GLP2R","finished",0,0
"GLRA1","finished",0,0
"GLRA2","gene_error",0,0
"GLRA3","finished",0,0
"GLRB","finished",0,0
"GLRX","finished",0,0
"GLRX2","finished",0,0
"GLRX3","finished",0,0
"GLRX5","finished",0,0
"GLS","finished",0,0
"GLS2","finished",0,0
"GLT1D1","finished",0,0
"GLT6D1","finished",0,0
"GLT8D1","finished",0,0
"GLT8D2","finished",0,0
"GLTP","finished",0,0
"GLTPD2","finished",0,0
"GLUD1","finished",0,0
"GLUD2","gene_error",0,0
"GLUL","finished",0,0
"GLYAT","finished",0,0
"GLYATL1","finished",0,0
"GLYATL2","finished",0,0
"GLYATL3","finished",0,0
"GLYCTK","finished",0,0
"GLYR1","finished",0,0
"GM2A","finished",0,0
"GMCL1","finished",0,0
