"gene","status","n_tissue_errors","n_nonconverged"
"MGAM2","finished",0,0
"MGARP","finished",0,0
"MGAT1","finished",0,0
"MGAT2","finished",0,0
"MGAT3","finished",0,0
"MGAT4A","finished",0,0
"MGAT4B","finished",0,0
"MGAT4C","finished",0,0
"MGAT4D","finished",0,0
"MGAT5","finished",0,0
"MGAT5B","finished",0,0
"MGLL","finished",0,0
"MGME1","finished",0,0
"MGMT","finished",0,0
"MGP","finished",0,0
"MGRN1","finished",0,0
"MGST1","finished",0,0
"MGST2","finished",0,0
"MGST3","finished",0,0
"MIA","finished",0,0
"MIA2","finished",0,0
"MIA3","finished",0,0
"MIB1","finished",0,0
"MIB2","finished",0,0
"MICA","finished",0,0
"MICAL1","finished",0,0
"MICAL2","finished",0,0
"MICAL3","finished",0,0
"MICALL1","finished",0,0
"MICALL2","finished",0,0
"MICB","finished",0,0
"MICU1","finished",0,0
"MICU2","finished",0,0
"MICU3","finished",0,0
"MID1","gene_error",0,0
"MID1IP1","gene_error",0,0
"MID2","gene_error",0,0
"MIDN","finished",0,0
"MIEF1","finished",0,0
"MIEF2","finished",0,0
"MIEN1","finished",0,0
"MIER1","finished",0,0
"MIER2","finished",0,0
"MIER3","finished",0,0
"MIF","finished",0,0
"MIF4GD","finished",0,0
"MIGA1","finished",0,0
"MIGA2","finished",0,0
"MIIP","finished",0,0
"MILR1","finished",0,0
"MINDY1","finished",0,0
"MINDY2","finished",0,0
"MINDY3","finished",0,0
"MINDY4","finished",0,0
"MINDY4B","finished",0,0
"MINK1","finished",0,0
"MINPP1","finished",0,0
"MIOS","finished",0,0
"MIOX","finished",0,0
"MIP","finished",0,0
"MIPEP","finished",0,0
"MIPOL1","finished",0,0
"MIS12","finished",0,0
"MIS18A","finished",0,0
"MIS18BP1","finished",0,0
"MISP","finished",0,0
"MISP3","finished",0,0
"MITD1","finished",0,0
"MITF","finished",0,0
"MIXL1","finished",0,0
"MKI67","finished",0,0
"MKKS","finished",0,0
"MKLN1","finished",0,0
"MKNK1","finished",0,0
"MKNK2","finished",0,0
"MKRN1","finished",0,0
"MKRN2","finished",0,0
"MKRN2OS","finished",0,0
"MKRN3","finished",0,0
"MKS1","finished",0,0
"MKX","finished",0,0
"MLANA","finished",0,0
"MLC1","finished",0,0
"MLEC","finished",0,0
"MLF1","finished",0,0
"MLF2","finished",0,0
"MLH1","finished",0,0
"MLH3","finished",0,0
"MLIP","finished",0,0
"MLKL","finished",0,0
"MLLT1","finished",0,0
"MLLT10","finished",0,0
"MLLT11","finished",0,0
"MLLT3","finished",0,0
"MLLT6","finished",0,0
"MLN","finished",0,0
"MLNR","finished",0,0
"MLPH","finished",0,0
"MLST8","finished",0,0
"MLX","finished",0,0
