"gene","status","n_tissue_errors","n_nonconverged"
"DHRS3","finished",0,0
"DHRS4","finished",0,0
"DHRS4L2","finished",0,0
"DHRS7","finished",0,0
"DHRS7B","finished",0,0
"DHRS7C","finished",0,0
"DHRS9","finished",0,0
"DHRSX","gene_error",0,0
"DHTKD1","finished",0,0
"DHX15","finished",0,0
"DHX16","finished",0,0
"DHX29","finished",0,0
"DHX30","finished",0,0
"DHX32","finished",0,0
"DHX33","finished",0,0
"DHX34","finished",0,0
"DHX35","finished",0,0
"DHX36","finished",0,0
"DHX37","finished",0,0
"DHX38","finished",0,0
"DHX40","finished",0,0
"DHX57","finished",0,0
"DHX58","finished",0,0
"DHX8","finished",0,0
"DHX9","finished",0,0
"DIABLO","finished",0,0
"DIAPH1","finished",0,0
"DIAPH2","gene_error",0,0
"DIAPH3","finished",0,0
"DICER1","finished",0,0
"DIDO1","finished",0,0
"DIMT1","finished",0,0
"DIO1","finished",0,0
"DIO2","finished",0,0
"DIO3","finished",0,0
"DIP2A","finished",0,0
"DIP2B","finished",0,0
"DIP2C","finished",0,0
"DIRAS1","finished",0,0
"DIRAS2","finished",0,0
"DIRAS3","finished",0,0
"DIS3","finished",0,0
"DIS3L","finished",0,0
"DIS3L2","finished",0,0
"DISC1","finished",0,0
"DISP1","finished",0,0
"DISP2","finished",0,0
"DISP3","finished",0,0
"DIXDC1","finished",0,0
"DKC1","gene_error",0,0
"DKK1","finished",0,0
"DKK2","finished",0,0
"DKK3","finished",0,0
"DKK4","finished",0,0
"DKKL1","finished",0,0
"DLAT","finished",0,0
"DLC1","finished",0,0
"DLD","finished",0,0
"DLEC1","finished",0,0
"DLEU7","finished",0,0
"DLG1","finished",0,0
"DLG2","finished",0,0
"DLG3","gene_error",0,0
"DLG4","finished",0,0
"DLG5","finished",0,0
"DLGAP1","finished",0,0
"DLGAP2","finished",0,0
"DLGAP3","finished",0,0
"DLGAP4","finished",0,0
"DLGAP5","finished",0,0
"DLK1","finished",0,0
"DLK2","finished",0,0
"DLL1","finished",0,0
"DLL3","finished",0,0
"DLL4","finished",0,0
"DLST","finished",0,0
"DLX1","finished",0,0
"DLX2","finished",0,0
"DLX3","finished",0,0
"DLX4","finished",0,0
"DLX5","finished",0,0
"DLX6","finished",0,0
"DMAP1","finished",0,0
"DMBT1","finished",0,0
"DMBX1","finished",0,0
"DMC1","finished",0,0
"DMD","gene_error",0,0
"DMGDH","finished",0,0
"DMKN","finished",0,0
"DMP1","finished",0,0
"DMPK","finished",0,0
"DMRT1","finished",0,0
"DMRT2","finished",0,0
"DMRT3","finished",0,0
"DMRTA1","finished",0,0
"DMRTA2","finished",0,0
"DMRTB1","finished",0,0
"DMRTC1","gene_error",0,0
"DMRTC1B","gene_error",0,0
"DMRTC2","finished",0,0
