"gene","status","n_tissue_errors","n_nonconverged"
"INO80D","finished",0,0
"INO80E","finished",0,0
"INPP1","finished",0,0
"INPP4A","finished",0,0
"INPP4B","finished",0,0
"INPP5A","finished",0,0
"INPP5B","finished",0,0
"INPP5D","finished",0,0
"INPP5E","finished",0,0
"INPP5F","finished",0,0
"INPP5J","finished",0,0
"INPP5K","finished",0,0
"INPPL1","finished",0,0
"INS","finished",0,0
"INS-IGF2","finished",0,0
"INSC","finished",0,0
"INSIG1","finished",0,0
"INSIG2","finished",0,0
"INSL3","finished",0,0
"INSL4","finished",0,0
"INSL5","finished",0,0
"INSL6","finished",0,0
"INSM1","finished",0,0
"INSM2","finished",0,0
"INSR","finished",0,0
"INSRR","finished",0,0
"INTS1","finished",0,0
"INTS10","finished",0,0
"INTS11","finished",0,0
"INTS12","finished",0,0
"INTS13","finished",0,0
"INTS14","finished",0,0
"INTS2","finished",0,0
"INTS3","finished",0,0
"INTS4","finished",0,0
"INTS5","finished",0,0
"INTS6","finished",0,0
"INTS6L","gene_error",0,0
"INTS7","finished",0,0
"INTS8","finished",0,0
"INTS9","finished",0,0
"INTU","finished",0,0
"INVS","finished",0,0
"IP6K1","finished",0,0
"IP6K2","finished",0,0
"IP6K3","finished",0,0
"IPCEF1","finished",0,0
"IPMK","finished",0,0
"IPO11","finished",0,0
"IPO13","finished",0,0
"IPO4","finished",0,0
"IPO5","finished",0,0
"IPO7","finished",0,0
"IPO8","finished",0,0
"IPO9","finished",0,0
"IPP","finished",0,0
"IPPK","finished",0,0
"IQCA1","finished",0,0
"IQCA1L","finished",0,0
"IQCB1","finished",0,0
"IQCC","finished",0,0
"IQCD","finished",0,0
"IQCE","finished",0,0
"IQCF1","finished",0,0
"IQCF2","finished",0,0
"IQCF3","finished",0,0
"IQCF5","finished",0,0
"IQCF6","finished",0,0
"IQCG","finished",0,0
"IQCH","finished",0,0
"IQCJ","finished",0,0
"IQCJ-SCHIP1","finished",0,0
"IQCK","finished",0,0
"IQGAP1","finished",0,0
"IQGAP2","finished",0,0
"IQGAP3","finished",0,0
"IQSEC1","finished",0,0
"IQSEC2","gene_error",0,0
"IQSEC3","finished",0,0
"IQUB","finished",0,0
"IRAK1","gene_error",0,0
"IRAK1BP1","finished",0,0
"IRAK2","finished",0,0
"IRAK3","finished",0,0
"IRAK4","finished",0,0
"IREB2","finished",0,0
"IRF1","finished",0,0
"IRF2","finished",0,0
"IRF2BP1","finished",0,0
"IRF2BP2","finished",0,0
"IRF2BPL","finished",0,0
"IRF3","finished",0,0
"IRF4","finished",0,0
"IRF5","finished",0,0
"IRF6","finished",0,0
"IRF7","finished",0,0
"IRF8","finished",0,0
"IRF9","finished",0,0
"IRGC","finished",0,0
"IRGM","finished",0,0
