additive_cs,mixed_cs,count,percentage
1,1,5156,83.2552882286453
2,1,108,1.74390440820281
3,1,0,0
4,1,0,0
5,1,0,0
1,2,52,0.839657678023575
2,2,788,12.7240432746649
3,2,13,0.209914419505894
4,2,1,0.0161472630389149
5,2,0,0
1,3,0,0
2,3,8,0.129178104311319
3,3,55,0.88809946714032
4,3,5,0.0807363151945745
5,3,0,0
1,4,0,0
2,4,0,0
3,4,0,0
4,4,5,0.0807363151945745
5,4,1,0.0161472630389149
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,1,0.0161472630389149
