coding_pattern,count,percentage
A,5136,82.932342967867
D,613,9.89827224285484
AD,305,4.92491522686905
R,58,0.936541256257064
AR,56,0.904246730179235
RD,20,0.322945260778298
ADR,5,0.0807363151945745
none,0,0
