"gene","status","n_tissue_errors","n_nonconverged"
"ZNF711","gene_error",0,0
"ZNF713","finished",0,0
"ZNF714","finished",0,0
"ZNF716","finished",0,0
"ZNF717","finished",0,0
"ZNF718","finished",0,0
"ZNF720","finished",0,0
"ZNF721","finished",0,0
"ZNF724","finished",0,0
"ZNF726","finished",0,0
"ZNF727","finished",0,0
"ZNF728","finished",0,0
"ZNF729","finished",0,0
"ZNF730","finished",0,0
"ZNF732","finished",0,0
"ZNF735","finished",0,0
"ZNF736","finished",0,0
"ZNF737","finished",0,0
"ZNF738","finished",0,0
"ZNF74","finished",0,0
"ZNF740","finished",0,0
"ZNF746","finished",0,0
"ZNF747","finished",0,0
"ZNF749","finished",0,0
"ZNF750","finished",0,0
"ZNF75A","finished",0,0
"ZNF75D","gene_error",0,0
"ZNF76","finished",0,0
"ZNF761","finished",0,0
"ZNF763","finished",0,0
"ZNF764","finished",0,0
"ZNF765","finished",0,0
"ZNF766","finished",0,0
"ZNF768","finished",0,0
"ZNF77","finished",0,0
"ZNF770","finished",0,0
"ZNF771","finished",0,0
"ZNF772","finished",0,0
"ZNF773","finished",0,0
"ZNF774","finished",0,0
"ZNF775","finished",0,0
"ZNF776","finished",0,0
"ZNF777","finished",0,0
"ZNF778","finished",0,0
"ZNF780A","finished",0,0
"ZNF780B","finished",0,0
"ZNF781","finished",0,0
"ZNF782","finished",0,0
"ZNF783","finished",0,0
"ZNF784","finished",0,0
"ZNF785","finished",0,0
"ZNF786","finished",0,0
"ZNF787","finished",0,0
"ZNF789","finished",0,0
"ZNF79","finished",0,0
"ZNF790","finished",0,0
"ZNF791","finished",0,0
"ZNF792","finished",0,0
"ZNF793","finished",0,0
"ZNF799","finished",0,0
"ZNF8","finished",0,0
"ZNF80","finished",0,0
"ZNF800","finished",0,0
"ZNF804A","finished",0,0
"ZNF804B","finished",0,0
"ZNF805","finished",0,0
"ZNF808","finished",0,0
"ZNF81","gene_error",0,0
"ZNF813","finished",0,0
"ZNF814","finished",0,0
"ZNF816","finished",0,0
"ZNF821","finished",0,0
"ZNF823","finished",0,0
"ZNF827","finished",0,0
"ZNF829","finished",0,0
"ZNF83","finished",0,0
"ZNF830","finished",0,0
"ZNF831","finished",0,0
"ZNF835","finished",0,0
"ZNF836","finished",0,0
"ZNF837","finished",0,0
"ZNF839","finished",0,0
"ZNF84","finished",0,0
"ZNF841","finished",0,0
"ZNF843","finished",0,0
"ZNF844","finished",0,0
"ZNF845","finished",0,0
"ZNF846","finished",0,0
"ZNF85","finished",0,0
"ZNF850","finished",0,0
"ZNF852","finished",0,0
"ZNF853","finished",0,0
"ZNF860","finished",0,0
"ZNF862","finished",0,0
"ZNF865","finished",0,0
"ZNF878","finished",0,0
"ZNF879","finished",0,0
"ZNF880","finished",0,0
"ZNF883","finished",0,0
"ZNF888","finished",0,0
