"gene","status","n_tissue_errors","n_nonconverged"
"CPQ","finished",0,0
"CPS1","finished",0,0
"CPSF1","finished",0,0
"CPSF2","finished",0,0
"CPSF3","finished",0,0
"CPSF4","finished",0,0
"CPSF4L","finished",0,0
"CPSF6","finished",0,0
"CPSF7","finished",0,0
"CPT1A","finished",0,0
"CPT1B","finished",0,0
"CPT1C","finished",0,0
"CPT2","finished",0,0
"CPTP","finished",0,0
"CPVL","finished",0,0
"CPXCR1","gene_error",0,0
"CPXM1","finished",0,0
"CPXM2","finished",0,0
"CPZ","finished",0,0
"CR1","finished",0,0
"CR1L","finished",0,0
"CR2","finished",0,0
"CRABP1","finished",0,0
"CRABP2","finished",0,0
"CRACR2A","finished",0,0
"CRACR2B","finished",0,0
"CRADD","finished",0,0
"CRAMP1","finished",0,0
"CRAT","finished",0,0
"CRB1","finished",0,0
"CRB2","finished",0,0
"CRB3","finished",0,0
"CRBN","finished",0,0
"CRCP","finished",0,0
"CRCT1","finished",0,0
"CREB1","finished",0,0
"CREB3","finished",0,0
"CREB3L1","finished",0,0
"CREB3L2","finished",0,0
"CREB3L3","finished",0,0
"CREB3L4","finished",0,0
"CREB5","finished",0,0
"CREBBP","finished",0,0
"CREBL2","finished",0,0
"CREBRF","finished",0,0
"CREBZF","finished",0,0
"CREG1","finished",0,0
"CREG2","finished",0,0
"CRELD1","finished",0,0
"CRELD2","finished",0,0
"CREM","finished",0,0
"CRH","finished",0,0
"CRHBP","finished",0,0
"CRHR1","finished",0,0
"CRHR2","finished",0,0
"CRIM1","finished",0,0
"CRIP1","finished",0,0
"CRIP2","finished",0,0
"CRIP3","finished",0,0
"CRIPT","finished",0,0
"CRISP1","finished",0,0
"CRISP2","finished",0,0
"CRISP3","finished",0,0
"CRISPLD1","finished",0,0
"CRISPLD2","finished",0,0
"CRK","finished",0,0
"CRKL","finished",0,0
"CRLF1","finished",0,0
"CRLF2","gene_error",0,0
"CRLF3","finished",0,0
"CRLS1","finished",0,0
"CRMP1","finished",0,0
"CRNKL1","finished",0,0
"CRNN","finished",0,0
"CROCC","finished",0,0
"CROCC2","finished",0,0
"CROT","finished",0,0
"CRP","finished",0,0
"CRTAC1","finished",0,0
"CRTAM","finished",0,0
"CRTAP","finished",0,0
"CRTC1","finished",0,0
"CRTC2","finished",0,0
"CRTC3","finished",0,0
"CRX","finished",0,0
"CRY1","finished",0,0
"CRY2","finished",0,0
"CRYAA","finished",0,0
"CRYAB","finished",0,0
"CRYBA1","finished",0,0
"CRYBA2","finished",0,0
"CRYBA4","finished",0,0
"CRYBB1","finished",0,0
"CRYBB2","finished",0,0
"CRYBB3","finished",0,0
"CRYBG3","finished",0,0
"CRYGA","finished",0,0
"CRYGB","finished",0,0
"CRYGC","finished",0,0
"CRYGD","finished",0,0
