"gene","status","n_tissue_errors","n_nonconverged"
"TLR1","finished",0,0
"TLR10","finished",0,0
"TLR2","finished",0,0
"TLR3","finished",0,0
"TLR4","finished",0,0
"TLR5","finished",0,0
"TLR6","finished",0,0
"TLR7","gene_error",0,0
"TLR8","gene_error",0,0
"TLR9","finished",0,0
"TLX1","finished",0,0
"TLX2","finished",0,0
"TLX3","finished",0,0
"TM2D1","finished",0,0
"TM2D2","finished",0,0
"TM2D3","finished",0,0
"TM4SF1","finished",0,0
"TM4SF18","finished",0,0
"TM4SF19","finished",0,0
"TM4SF20","finished",0,0
"TM4SF4","finished",0,0
"TM4SF5","finished",0,0
"TM6SF1","finished",0,0
"TM6SF2","finished",0,0
"TM7SF2","finished",0,0
"TM7SF3","finished",0,0
"TM9SF1","finished",0,0
"TM9SF2","finished",0,0
"TM9SF3","finished",0,0
"TM9SF4","finished",0,0
"TMA16","finished",0,0
"TMA7","finished",0,0
"TMBIM1","finished",0,0
"TMBIM4","finished",0,0
"TMBIM6","finished",0,0
"TMC1","finished",0,0
"TMC2","finished",0,0
"TMC3","finished",0,0
"TMC4","finished",0,0
"TMC5","finished",0,0
"TMC6","finished",0,0
"TMC7","finished",0,0
"TMC8","finished",0,0
"TMCC1","finished",0,0
"TMCC2","finished",0,0
"TMCC3","finished",0,0
"TMCO1","finished",0,0
"TMCO2","finished",0,0
"TMCO3","finished",0,0
"TMCO4","finished",0,0
"TMCO5A","finished",0,0
"TMCO6","finished",0,0
"TMED1","finished",0,0
"TMED10","finished",0,0
"TMED2","finished",0,0
"TMED3","finished",0,0
"TMED4","finished",0,0
"TMED5","finished",0,0
"TMED6","finished",0,0
"TMED7","finished",0,0
"TMED8","finished",0,0
"TMED9","finished",0,0
"TMEFF1","finished",0,0
"TMEFF2","finished",0,0
"TMEM100","finished",0,0
"TMEM101","finished",0,0
"TMEM102","finished",0,0
"TMEM104","finished",0,0
"TMEM106A","finished",0,0
"TMEM106B","finished",0,0
"TMEM106C","finished",0,0
"TMEM107","finished",0,0
"TMEM108","finished",0,0
"TMEM109","finished",0,0
"TMEM11","finished",0,0
"TMEM114","finished",0,0
"TMEM115","finished",0,0
"TMEM116","finished",0,0
"TMEM117","finished",0,0
"TMEM119","finished",0,0
"TMEM120A","finished",0,0
"TMEM120B","finished",0,0
"TMEM121","finished",0,0
"TMEM123","finished",0,0
"TMEM125","finished",0,0
"TMEM126A","finished",0,0
"TMEM126B","finished",0,0
"TMEM127","finished",0,0
"TMEM128","finished",0,0
"TMEM129","finished",0,0
"TMEM130","finished",0,0
"TMEM131","finished",0,0
"TMEM132A","finished",0,0
"TMEM132B","finished",0,0
"TMEM132C","finished",0,0
"TMEM132D","finished",0,0
"TMEM132E","finished",0,0
"TMEM134","finished",0,0
"TMEM135","finished",0,0
"TMEM138","finished",0,0
