"gene","status","n_tissue_errors","n_nonconverged"
"CD48","finished",0,0
"CD5","finished",0,0
"CD52","finished",0,0
"CD53","finished",0,0
"CD55","finished",0,0
"CD58","finished",0,0
"CD59","finished",0,0
"CD5L","finished",0,0
"CD6","finished",0,0
"CD63","finished",0,0
"CD68","finished",0,0
"CD69","finished",0,0
"CD7","finished",0,0
"CD70","finished",0,0
"CD72","finished",0,0
"CD74","finished",0,0
"CD79A","finished",0,0
"CD79B","finished",0,0
"CD80","finished",0,0
"CD81","finished",0,0
"CD82","finished",0,0
"CD83","finished",0,0
"CD84","finished",0,0
"CD86","finished",0,0
"CD8A","finished",0,0
"CD8B","finished",0,0
"CD9","finished",0,0
"CD93","finished",0,0
"CD96","finished",0,0
"CD99","gene_error",0,0
"CD99L2","gene_error",0,0
"CDA","finished",0,0
"CDADC1","finished",0,0
"CDAN1","finished",0,0
"CDC123","finished",0,0
"CDC14A","finished",0,0
"CDC14B","finished",0,0
"CDC14C","finished",0,0
"CDC16","finished",0,0
"CDC20","finished",0,0
"CDC20B","finished",0,0
"CDC23","finished",0,0
"CDC25A","finished",0,0
"CDC25B","finished",0,0
"CDC25C","finished",0,0
"CDC26","finished",0,0
"CDC27","finished",0,0
"CDC34","finished",0,0
"CDC37","finished",0,0
"CDC37L1","finished",0,0
"CDC40","finished",0,0
"CDC42","finished",0,0
"CDC42BPA","finished",0,0
"CDC42BPB","finished",0,0
"CDC42BPG","finished",0,0
"CDC42EP1","finished",0,0
"CDC42EP2","finished",0,0
"CDC42EP3","finished",0,0
"CDC42EP4","finished",0,0
"CDC42EP5","finished",0,0
"CDC42SE1","finished",0,0
"CDC42SE2","finished",0,0
"CDC45","finished",0,0
"CDC5L","finished",0,0
"CDC6","finished",0,0
"CDC7","finished",0,0
"CDC73","finished",0,0
"CDCA2","finished",0,0
"CDCA3","finished",0,0
"CDCA4","finished",0,0
"CDCA5","finished",0,0
"CDCA7","finished",0,0
"CDCA7L","finished",0,0
"CDCA8","finished",0,0
"CDCP1","finished",0,0
"CDCP2","finished",0,0
"CDH1","finished",0,0
"CDH10","finished",0,0
"CDH11","finished",0,0
"CDH12","finished",0,0
"CDH13","finished",0,0
"CDH15","finished",0,0
"CDH16","finished",0,0
"CDH17","finished",0,0
"CDH18","finished",0,0
"CDH19","finished",0,0
"CDH2","finished",0,0
"CDH20","finished",0,0
"CDH22","finished",0,0
"CDH23","finished",0,0
"CDH24","finished",0,0
"CDH26","finished",0,0
"CDH3","finished",0,0
"CDH4","finished",0,0
"CDH5","finished",0,0
"CDH6","finished",0,0
"CDH7","finished",0,0
"CDH8","finished",0,0
"CDH9","finished",0,0
"CDHR1","finished",0,0
