"gene","status","n_tissue_errors","n_nonconverged"
"THEMIS2","finished",0,0
"THG1L","finished",0,0
"THNSL1","finished",0,0
"THNSL2","finished",0,0
"THOC1","finished",0,0
"THOC2","gene_error",0,0
"THOC3","finished",0,0
"THOC5","finished",0,0
"THOC6","finished",0,0
"THOC7","finished",0,0
"THOP1","finished",0,0
"THPO","finished",0,0
"THRA","finished",0,0
"THRAP3","finished",0,0
"THRB","finished",0,0
"THRSP","finished",0,0
"THSD1","finished",0,0
"THSD4","finished",0,0
"THSD7A","finished",0,0
"THSD7B","finished",0,0
"THTPA","finished",0,0
"THUMPD1","finished",0,0
"THUMPD2","finished",0,0
"THUMPD3","finished",0,0
"THY1","finished",0,0
"THYN1","finished",0,0
"TIA1","finished",0,0
"TIAF1","finished",0,0
"TIAL1","finished",0,0
"TIAM1","finished",0,0
"TIAM2","finished",0,0
"TICAM1","finished",0,0
"TICAM2","finished",0,0
"TICRR","finished",0,0
"TIE1","finished",0,0
"TIFA","finished",0,0
"TIFAB","finished",0,0
"TIGAR","finished",0,0
"TIGD1","finished",0,0
"TIGD2","finished",0,0
"TIGD3","finished",0,0
"TIGD4","finished",0,0
"TIGD5","finished",0,0
"TIGD6","finished",0,0
"TIGD7","finished",0,0
"TIGIT","finished",0,0
"TIMD4","finished",0,0
"TIMELESS","finished",0,0
"TIMM10","finished",0,0
"TIMM10B","finished",0,0
"TIMM13","finished",0,0
"TIMM17A","finished",0,0
"TIMM17B","gene_error",0,0
"TIMM21","finished",0,0
"TIMM22","finished",0,0
"TIMM23","finished",0,0
"TIMM23B","finished",0,0
"TIMM29","finished",0,0
"TIMM44","finished",0,0
"TIMM50","finished",0,0
"TIMM8A","gene_error",0,0
"TIMM8B","finished",0,0
"TIMM9","finished",0,0
"TIMMDC1","finished",0,0
"TIMP1","gene_error",0,0
"TIMP2","finished",0,0
"TIMP3","finished",0,0
"TIMP4","finished",0,0
"TINAG","finished",0,0
"TINAGL1","finished",0,0
"TINCR","finished",0,0
"TINF2","finished",0,0
"TIPARP","finished",0,0
"TIPIN","finished",0,0
"TIPRL","finished",0,0
"TIRAP","finished",0,0
"TJAP1","finished",0,0
"TJP1","finished",0,0
"TJP2","finished",0,0
"TJP3","finished",0,0
"TK1","finished",0,0
"TK2","finished",0,0
"TKFC","finished",0,0
"TKT","finished",0,0
"TKTL1","gene_error",0,0
"TKTL2","finished",0,0
"TLCD1","finished",0,0
"TLCD2","finished",0,0
"TLDC2","finished",0,0
"TLE1","finished",0,0
"TLE2","finished",0,0
"TLE3","finished",0,0
"TLE4","finished",0,0
"TLE6","finished",0,0
"TLK1","finished",0,0
"TLK2","finished",0,0
"TLL1","finished",0,0
"TLL2","finished",0,0
"TLN1","finished",0,0
"TLN2","finished",0,0
