metric,count,denominator,percentage
Same number of credible sets,11094,11203,99.0270463268767
Same CS count and same biological lead SNP set,10820,11203,96.5812728733375
Different number of credible sets,109,11203,0.972953673123271
Both models reported at least one CS,11203,11203,100
Any shared SNP when both models reported CSs,11200,11203,99.9732214585379
