coding_pattern,count,percentage
A,10633,94.9120771221994
D,339,3.02597518521825
AD,170,1.51745068285281
R,30,0.267785414621084
AR,30,0.267785414621084
RD,1,0.00892618048736945
none,0,0
ADR,0,0
