gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,coding_pattern,number_coding_types
ZNF718,Esophagus,ZNF718.rds,412,1097,3039,0,252,0,287.708737864078,249,9.69483939661967e-27,-1.10946724319479,0.000289371632788971,-511.395203988564,-510.945173153495,-583.956285315508,-583.956285315508,2,2,0,0,50,61,48,96,2,4,48,2,48,48,96,0,0,0,36,12,0,12,0,25,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-523.639479357992,-0.19975702949273,0.909710213702056,-511.239017995745,TRUE,2,0,0,0.8,0.15,0.05,0.8,0.15,0.05,57,50,100,50,2,53,65,0.815384615384615,86.8852459016394,92.9824561403509,2,53,TRUE,FALSE,FALSE,TRUE,FALSE,A,1
ZNF718,Heart,ZNF718.rds,331,1097,3018,0,273,0,202.205438066465,181,2.81650129776682e-17,-0.848781116203213,0.000286242530478376,-423.983200671887,-423.551741846159,-469.023434530328,-469.023434530328,2,2,0,0,66,93,64,96.969696969697,2,3.03030303030303,64,2,64,64,96.969696969697,0,0,0,27,31,0,31,6,48.4375,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-435.168272028443,-0.10372864962477,0.745052466578443,-423.784445467048,TRUE,2,0,0,0.8,0.15,0.05,0.8,0.15,0.05,87,65,98.4848484848485,65,2,82,98,0.836734693877551,88.1720430107527,94.2528735632184,2,82,TRUE,FALSE,FALSE,FALSE,FALSE,A,1
ZNF718,Liver,ZNF718.rds,140,1097,2615,0,676,0,123.25,108.5,2.09567339478204e-12,-0.821689606805023,0.000226193371304362,-164.048670297561,-163.956445919055,-198.010960576874,-198.010960576874,2,2,0,0,30,31,29,96.6666666666667,1,3.33333333333333,29,2,29,29,96.6666666666667,0,0,0,21,8,0,8,0,27.5862068965517,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-176.56907232374,-0.204297302657039,0.617392304147984,-163.993415273996,TRUE,2,0,0,0.8,0.15,0.05,0.8,0.15,0.05,32,30,100,30,2,31,32,0.96875,100,96.875,2,31,TRUE,FALSE,FALSE,TRUE,FALSE,A,1
ZNF718,Lung,ZNF718.rds,323,1097,2998,0,293,0,329.411764705882,288,1.34011072116604e-16,1.33354303041511,0.00028326243182164,-424.506698112325,-422.521030874181,-457.672058805041,-457.672058805041,1,1,0,0,15,17,15,100,0,0,15,1,15,5,33.3333333333333,10,66.6666666666667,66.6666666666667,0,15,0,15,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-430.420673960237,0.784714648029421,-0.548828382385693,-423.104980500724,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,16,15,100,14,1,16,17,0.941176470588235,94.1176470588235,100,1,16,TRUE,FALSE,FALSE,TRUE,TRUE,D,1
ZNF718,Nerve,ZNF718.rds,354,1097,3016,0,275,0,413.612994350282,366.5,3.04386904654431e-39,2.06408738024709,0.000285944520328485,-396.382122497082,-392.418890314385,-501.658658586283,-501.658658586283,2,2,0,0,25,21,21,84,4,16,21,2,21,11,44,10,40,47.6190476190476,10,11,0,11,0,52.3809523809524,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-409.127664451016,2.030658418911,-0.0334289613360852,-392.670398024063,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,25,23,92,11,2,21,25,0.84,100,84,2,21,TRUE,FALSE,FALSE,TRUE,TRUE,AD,2
ZNF718,Ovary,ZNF718.rds,106,1096,2648,1,641,1,522.301886792453,457,1.7986645580656e-12,-0.705352533229899,0.000231259570568909,-126.158589349589,-126.429570187417,-149.768589792084,-149.768589792084,1,1,0,0,19,25,19,100,0,0,19,1,19,19,100,0,0,0,18,1,0,1,0,5.26315789473684,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-133.598672618224,-0.187619516662977,0.517733016566922,-126.21643594879,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,20,19,100,19,1,20,25,0.8,80,100,1,20,TRUE,FALSE,FALSE,TRUE,TRUE,A,1
ZNF718,Pancreas,ZNF718.rds,180,1097,2850,0,441,0,190.238888888889,158.5,3.20581796234261e-18,-0.954476735256407,0.000261209674192742,-217.94378660491,-217.943811078149,-254.767090693266,-254.767090693266,1,1,0,0,18,18,18,100,0,0,18,1,18,18,100,0,0,0,18,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-224.650847289007,-0.22290401885104,0.731572716405367,-217.943791173471,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,18,18,100,18,1,18,18,1,100,100,1,18,TRUE,TRUE,TRUE,TRUE,TRUE,A,1
ZNF718,Pituitary,ZNF718.rds,201,1097,2697,0,594,0,361.522388059701,333,3.81671639896704e-33,-0.899322451011813,0.000238411839745822,-212.419588647186,-212.419588574832,-284.564180354963,-284.564180354963,1,1,0,0,9,9,9,100,0,0,9,1,9,9,100,0,0,0,9,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-220.062172944125,-0.222924894086304,0.676397556925508,-212.419588625627,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,9,9,100,9,1,9,9,1,100,100,1,9,TRUE,TRUE,TRUE,TRUE,TRUE,A,1
ZNF718,Prostate,ZNF718.rds,143,1097,2659,0,632,0,373.111888111888,348,2.06977908573377e-20,-0.885137731219686,0.00023274962444475,-159.346635732492,-159.346642349652,-202.267657476498,-202.267657476498,1,1,0,0,13,13,13,100,0,0,13,1,13,13,100,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-166.231168054101,-0.22292990566018,0.662207825559506,-159.346636944612,TRUE,1,0,0,0.8,0.15,0.05,0.8,0.15,0.05,13,13,100,13,1,13,13,1,100,100,1,13,TRUE,TRUE,TRUE,TRUE,TRUE,A,1
ZNF718,Skin,ZNF718.rds,522,1097,3060,0,231,0,341.193486590038,301.5,1.1512976421224e-63,-0.629457438821532,0.000292500734531131,-591.862930196436,-590.062472837831,-740.038293254798,-740.038293254798,2,2,0,0,124,102,101,81.4516129032258,23,18.5483870967742,101,2,101,79,63.7096774193548,22,17.741935483871,21.7821782178218,14,77,0,77,10,76.2376237623762,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-604.089039999182,0.00580807661413019,0.635265515435663,-590.991703026138,TRUE,2,0,0,0.8,0.15,0.05,0.8,0.15,0.05,126,124,100,124,2,102,126,0.80952380952381,100,80.952380952381,2,102,TRUE,FALSE,FALSE,FALSE,FALSE,A,1
