metric,count,denominator,percentage
Same number of credible sets,10968,11203,97.9023475854682
Same biological-SNP credible sets,5432,11203,48.4870124073909
Same biological lead-SNP set,10468,11203,93.4392573417835
Any shared SNP when both models reported CSs,11199,11203,99.9642952780505
