agreement_category,count,percentage
Same CS count; same lead SNP(s),10820,96.5812728733375
Same CS count; different lead SNP(s); SNP overlap,273,2.43684727305186
Different CS count,109,0.972953673123271
Same CS count; no SNP overlap,1,0.00892618048736945
Neither model reported a CS,0,0
Additive model only,0,0
Weighted mixed model only,0,0
