tissue,model,distance_to_tss_kb,bin_lower_kb,bin_upper_kb,count,proportion,percentage,n_cs_total,n_cs_in_window
All tissues,Weighted SuSiE-mix,60,55,65,191,0.0153376696378383,1.53376696378383,13100,12453
All tissues,Weighted SuSiE-mix,70,65,75,160,0.0128483096442624,1.28483096442624,13100,12453
All tissues,Weighted SuSiE-mix,80,75,85,143,0.0114831767445595,1.14831767445595,13100,12453
All tissues,Weighted SuSiE-mix,90,85,95,112,0.0089938167509837,0.89938167509837,13100,12453
All tissues,Weighted SuSiE-mix,100,95,105,89,0.00714687223962098,0.714687223962098,13100,12453
All tissues,Weighted SuSiE-mix,110,105,115,99,0.00794989159238738,0.794989159238738,13100,12453
All tissues,Weighted SuSiE-mix,120,115,125,47,0.00377419095800209,0.377419095800209,13100,12453
All tissues,Weighted SuSiE-mix,130,125,135,79,0.00634385288685457,0.634385288685457,13100,12453
All tissues,Weighted SuSiE-mix,140,135,145,51,0.00409539869910865,0.409539869910865,13100,12453
All tissues,Weighted SuSiE-mix,150,145,155,66,0.00529992772825825,0.529992772825825,13100,12453
All tissues,Weighted SuSiE-mix,160,155,165,33,0.00264996386412913,0.264996386412913,13100,12453
All tissues,Weighted SuSiE-mix,170,165,175,23,0.00184694451136272,0.184694451136272,13100,12453
All tissues,Weighted SuSiE-mix,180,175,185,38,0.00305147354051233,0.305147354051233,13100,12453
All tissues,Weighted SuSiE-mix,190,185,195,21,0.00168634064080944,0.168634064080944,13100,12453
All tissues,Weighted SuSiE-mix,200,195,205,41,0.00329237934634225,0.329237934634225,13100,12453
