gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,coding_pattern,number_coding_types
RGS11,Blood Vessel,RGS11.rds,450,1686,4764,0,294,0,983.58,676,3.81904053429313e-10,9.65655126820639,0.000458635701079402,-618.701301100907,-607.731255197016,-637.875486340248,-637.875486340248,1,1,0,0,1,1,1,100,0,0,1,1,1,0,0,1,100,100,0,0,1,1,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-620.055276651684,7.89165009319913,-1.76490117500725,-607.732843520185,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,1,1,100,0,1,1,1,1,100,100,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,R,1
RGS11,Muscle,RGS11.rds,477,1686,4773,0,285,0,171.01677148847,130,5.04961411589451e-09,2.08681674674631,0.000459976710089904,-659.594603073532,-655.761424472162,-676.186523626109,-676.186523626109,1,1,0,0,1,1,1,100,0,0,1,1,1,0,0,1,100,100,0,0,1,1,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-667.58871499779,0.51949528875241,-1.5673214579939,-656.520449244754,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,1,1,100,1,1,1,1,1,100,100,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,R,1
RPS9,Lung,RPS9.rds,323,3519,9330,0,1227,0,33742.4736842105,31036,1.71431452422119e-09,4.47426549262281,0.000865823589606407,-440.328608656325,-434.721970473496,-457.672058805041,-457.672058805041,1,1,0,0,36,36,34,94.4444444444444,2,5.55555555555556,34,1,34,0,0,34,94.4444444444444,100,0,0,34,34,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-443.731389887235,2.90744146895429,-1.56682402366852,-434.861565312854,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,37,34,94.4444444444444,0,1,36,37,0.972972972972973,100,97.2972972972973,1,36,TRUE,FALSE,FALSE,TRUE,TRUE,R,1
SAPCD2,Blood,SAPCD2.rds,435,1738,4949,0,265,0,193.225287356322,77,1.81682431630296e-21,5.1945291326773,0.000478452449215183,-571.889256098531,-565.384745293202,-616.591585743734,-616.591585743734,1,1,0,0,4,4,4,100,0,0,4,1,4,0,0,4,100,100,0,0,4,4,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-576.820911851516,3.42591867732517,-1.76861045535213,-565.482642819191,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,4,4,100,0,1,4,4,1,100,100,1,4,TRUE,TRUE,TRUE,TRUE,TRUE,R,1
SAXO2,Thyroid,SAXO2.rds,390,1747,4832,0,409,0,182.097435897436,162.5,4.32936860321162e-26,1.42430679763856,0.000459678290098964,-490.307802097127,-486.295731119913,-552.739928256339,-552.739928256339,2,2,0,0,313,18,15,4.79233226837061,298,95.2076677316294,15,2,15,8,2.55591054313099,7,2.23642172523962,46.6666666666667,2,2,11,13,0,86.6666666666667,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-504.007448711043,0.529353310825115,-0.894953486813449,-487.394746397925,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,105,102,32.5878594249201,88,2,16,107,0.149532710280374,88.8888888888889,15.2380952380952,2,16,TRUE,FALSE,FALSE,TRUE,TRUE,AR,2
SLC9A3,Ovary,SLC9A3.rds,106,2641,6510,0,1413,0,182.783018867925,142.5,9.88504760873159e-15,1.32124250741894,0.00057648662163956,-105.206255409286,-103.320619547593,-149.768589792084,-149.768589792084,2,2,0,0,17,20,17,100,0,0,17,2,17,12,70.5882352941177,5,29.4117647058824,29.4117647058824,12,0,5,5,0,29.4117647058824,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-120.936890583569,0.673201493660272,-0.648041013758672,-103.584254858794,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,20,17,100,16,2,20,20,1,100,100,2,20,TRUE,TRUE,FALSE,TRUE,TRUE,AR,2
SLCO1B3,Testis,SLCO1B3.rds,211,2701,7343,0,760,0,151.36018957346,125,1.77348886954802e-10,3.98082432737158,0.00069166014327493,-280.210188870174,-275.602282069831,-298.753293732085,-298.753293732085,1,1,0,0,19,20,19,100,0,0,19,1,19,0,0,19,100,100,0,17,2,19,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-284.530701782448,2.99263208004635,-0.98819224732523,-275.781401910171,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,21,19,100,0,1,20,21,0.952380952380952,100,95.2380952380952,1,20,TRUE,FALSE,FALSE,TRUE,TRUE,R,1
TMEM132B,Esophagus,TMEM132B.rds,412,2525,7014,0,561,0,339.847087378641,261.5,3.68019457475981e-11,1.66326565194265,0.000668865588977496,-562.584619506008,-559.9885432503,-583.956285315508,-583.956285315508,1,1,0,0,19,21,19,100,0,0,19,1,19,0,0,19,100,100,0,0,19,19,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-568.919528462161,0.39191942391119,-1.27134622803146,-561.027738518965,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,20,18,94.7368421052632,17,1,20,21,0.952380952380952,95.2380952380952,100,1,20,TRUE,FALSE,FALSE,TRUE,TRUE,R,1
TMTC1,Blood,TMTC1.rds,435,3229,9254,0,433,0,576.979310344828,240,3.19284944886436e-28,3.09291446274187,-0.173506629225017,-536.834012942754,-531.491897623402,-616.604416144867,-616.591585743734,2,2,0,0,22,22,22,100,0,0,22,2,22,21,95.4545454545454,1,4.54545454545455,4.54545454545455,21,0,1,1,0,4.54545454545455,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-552.026798670259,2.17035507039839,-0.922559392343487,-531.739685807842,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,22,22,100,21,2,22,22,1,100,100,2,22,TRUE,TRUE,TRUE,TRUE,TRUE,AR,2
UGT2B17,Colon,UGT2B17.rds,332,2257,6382,0,389,0,8795.40963855422,79.5,4.79038067694269e-12,7.10057270716249,0.000614633337931991,-440.876811680354,-432.274690527355,-464.178119849805,-464.178119849805,1,1,0,0,1,1,1,100,0,0,1,1,1,0,0,1,100,100,0,0,1,1,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-444.932006139809,5.33562749442069,-1.76494521274179,-432.28963495385,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,1,1,100,0,1,1,1,1,100,100,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,R,1
UGT2B4,Heart,UGT2B4.rds,331,2717,7673,0,478,0,452.117824773414,338,2.78616722939665e-41,12.0440059684413,0.000738444385319781,-376.768040751672,-349.231096356461,-465.452221235122,-465.452221235122,1,3,0,0,248,336,248,100,0,0,248,2,363,126,50.8064516129032,122,49.1935483870968,49.1935483870968,11,0,237,237,0,95.5645161290323,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,2,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-374.239753606674,7.19245896676972,-4.85154700167158,-361.518623618518,TRUE,1,0,1,0.8,0.15,0.05,0.8,0.15,0.05,311,247,99.5967741935484,236,2,310,337,0.919881305637982,92.2619047619048,99.6784565916399,4,763,FALSE,FALSE,FALSE,FALSE,FALSE,AR,2
VAT1L,Blood Vessel,VAT1L.rds,450,4345,12316,0,719,0,1684.14444444444,1247,1.3708119719259e-22,4.01017054641432,0.00118762413535478,-590.359179504047,-585.025597481274,-637.875486340248,-637.875486340248,1,1,0,0,1,1,1,100,0,0,1,1,1,0,0,1,100,100,0,0,1,1,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-598.531085880234,2.28426536362565,-1.72590518278867,-585.271382324436,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,1,1,100,1,1,1,1,1,100,100,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,R,1
WASHC1,Pancreas,WASHC1.rds,180,1841,4811,0,712,0,463.572222222222,420,1.00228813446046e-15,1.77973081576289,0.000442542554424108,-223.408055100221,-220.251177909753,-254.767090693266,-254.767090693266,1,1,0,0,14,9,9,64.2857142857143,5,35.7142857142857,9,1,9,2,14.2857142857143,7,50,77.7777777777778,0,0,9,9,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-230.097122296168,0.598829979920964,-1.18090083584192,-221.303674410461,TRUE,0,0,1,0.8,0.15,0.05,0.8,0.15,0.05,11,11,78.5714285714286,10,1,9,11,0.818181818181818,100,81.8181818181818,1,9,TRUE,FALSE,FALSE,TRUE,TRUE,R,1
ZP3,Testis,ZP3.rds,211,1877,5053,0,578,0,374.336492890995,240,5.05602041292746e-38,14.2778959501157,0.000473236445373004,-151.24551267663,-134.371060071955,-298.753293732085,-298.753293732085,3,3,0,0,40,46,35,87.5,5,12.5,35,3,35,14,35,21,52.5,60,14,0,21,21,0,60,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,2,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,3,-161.556024535788,13.7279963449969,-0.549899605118839,-134.301141184787,TRUE,2,0,1,0.8,0.15,0.05,0.8,0.15,0.05,46,35,87.5,14,3,46,46,1,100,100,3,46,TRUE,TRUE,TRUE,TRUE,TRUE,AR,2
