metric,value
Median weighted-minus-additive ELBO,-0.219590884901322
Mean weighted-minus-additive ELBO,-0.0918654931170713
Median weighted-minus-unweighted ELBO,0.747948944421069
Mean weighted-minus-unweighted ELBO,0.660031227183145
Median additive log-likelihood metric,-455.217597542638
Median weighted log-likelihood metric,-455.207210029637
