additive_cs,weighted_mixed_cs,count,percentage
1,1,9411,84.004284566634
2,1,67,0.598054092653753
3,1,0,0
4,1,0,0
5,1,0,0
1,2,23,0.205302151209497
2,2,1544,13.7820226724984
3,2,9,0.0803356243863251
4,2,1,0.00892618048736945
5,2,0,0
1,3,0,0
2,3,4,0.0357047219494778
3,3,119,1.06221547799697
4,3,4,0.0357047219494778
5,3,0,0
1,4,0,0
2,4,0,0
3,4,0,0
4,4,17,0.151745068285281
5,4,1,0.00892618048736945
1,5,0,0
2,5,0,0
3,5,0,0
4,5,0,0
5,5,3,0.0267785414621084
