gene,tissue,result_file,n_ind,n_SNP,n_mix_predictor,n_add_rm,n_rec_rm,n_dom_rm,mean_count,median_count,min_pv,dif_elbo,dif_elbo_perm,log_lik_add,log_lik_mix,log_lik_add_perm,log_lik_mix_perm,ncs_susie,ncs_susie_mix,perm_cs_susie,perm_cs_susie_mix,n_add_cs_snps,n_mix_cs_snps,overlap_snp,pct_add_cs_snps_retained,n_add_cs_snps_not_retained,pct_add_cs_snps_not_retained,overlap,overlap_cs_pairs,overlap_pairwise_sum,overlap_coding,pct_add_cs_snps_retained_additive_coding,n_add_cs_snps_other_coding_only,pct_add_cs_snps_other_coding_only,pct_shared_snps_other_coding_only,n_shared_snps_preferred_additive,n_shared_snps_preferred_dominant,n_shared_snps_preferred_recessive,n_shared_snps_preferred_nonadditive,n_shared_snps_preference_ambiguous,pct_shared_snps_preferred_nonadditive,n_add_cs_snps_perm,n_mix_cs_snps_perm,overlap_snp_perm,overlap_perm,pct_add_cs_snps_retained_perm,n_add_cs_snps_not_retained_perm,pct_add_cs_snps_not_retained_perm,overlap_cs_pairs_perm,overlap_pairwise_sum_perm,overlap_coding_perm,pct_add_cs_snps_retained_additive_coding_perm,n_add_cs_snps_other_coding_only_perm,pct_add_cs_snps_other_coding_only_perm,n_shared_snps_preferred_additive_perm,n_shared_snps_preferred_dominant_perm,n_shared_snps_preferred_recessive_perm,n_shared_snps_preferred_nonadditive_perm,n_shared_snps_preference_ambiguous_perm,pct_shared_snps_preferred_nonadditive_perm,n_add,n_rec,n_dom,n_add_perm,n_rec_perm,n_dom_perm,converged_add,converged_mix,converged_add_perm,converged_mix_perm,has_weighted_fit_mix,ncs_weighted_fit_mix,elbo_weighted_mix,dif_elbo_weighted_vs_add,dif_elbo_weighted_vs_mix,log_lik_weighted_mix,converged_weighted_fit_mix,n_add_weighted,n_dom_weighted,n_rec_weighted,weighted_prior_target_additive,weighted_prior_target_dominant,weighted_prior_target_recessive,weighted_prior_realized_additive,weighted_prior_realized_dominant,weighted_prior_realized_recessive,n_weighted_mix_cs_snps,overlap_snp_add_weighted,pct_add_cs_snps_retained_weighted,overlap_coding_add_weighted,overlap_cs_pairs_add_weighted,mix_weighted_overlap_snp,mix_weighted_union_snp,mix_weighted_jaccard_snp,pct_mix_cs_snps_retained_weighted,pct_weighted_cs_snps_retained_mix,mix_weighted_overlap_cs_pairs,mix_weighted_overlap_pairwise_sum,mix_weighted_same_cs_count,mix_weighted_same_cs_snp_sets,mix_weighted_same_cs_predictor_sets,mix_weighted_same_lead_snp_set,mix_weighted_same_lead_predictor_set,coding_pattern,number_coding_types
HLA-DOB,Testis,HLA-DOB.rds,211,11936,31777,0,4031,0,163.109004739337,114,2.05292875831554e-30,8.30766436431355,0.00295557682022718,-233.594359974833,-224.174216339339,-298.753293732085,-298.753293732085,1,1,0,0,57,58,56,98.2456140350877,1,1.75438596491228,56,1,56,0,0,56,98.2456140350877,100,0,56,0,56,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-234.078846869215,7.39068103071321,-0.916983333600342,-224.176595467773,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,58,56,98.2456140350877,0,1,58,58,1,100,100,1,58,TRUE,TRUE,TRUE,TRUE,TRUE,D,1
HLA-DQA2,Adrenal Gland,HLA-DQA2.rds,141,12333,32525,0,4474,0,249.489361702128,91,1.30231977248557e-23,4.37417278182124,0.00300783721712605,-133.635492491394,-128.044789438351,-199.429859276567,-199.429859276567,2,2,0,0,150,170,146,97.3333333333333,4,2.66666666666667,146,2,146,8,5.33333333333333,138,92,94.5205479452055,8,138,0,138,0,94.5205479452055,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-146.244391360238,3.94194631816208,-0.432226463659163,-127.657397673766,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,165,145,96.6666666666667,7,2,161,174,0.925287356321839,94.7058823529412,97.5757575757576,2,161,TRUE,FALSE,FALSE,FALSE,FALSE,AD,2
HLA-DQA2,Kidney,HLA-DQA2.rds,54,12131,28033,202,8538,226,344.388888888889,232,4.09247613395089e-09,1.71035783018647,0.00236887379017503,-60.7653501596768,-55.8609720050431,-75.7224455800927,-75.7224455800927,1,1,0,0,299,314,210,70.2341137123746,89,29.7658862876254,210,1,210,25,8.36120401337793,185,61.8729096989967,88.0952380952381,6,193,0,193,11,91.9047619047619,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-65.8487003846182,0.870641502788672,-0.839716327397795,-57.2036220738994,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,348,246,82.2742474916388,243,1,312,350,0.891428571428572,99.3630573248408,89.6551724137931,1,312,TRUE,FALSE,FALSE,TRUE,TRUE,D,1
HLA-DQA2,Salivary Gland,HLA-DQA2.rds,111,12332,31906,1,5091,1,220.531531531532,162,3.52189887222337e-22,0.0890405802068131,0.00291579227109651,-94.5004791112085,-91.6044121088771,-156.804710925365,-156.804710925365,2,2,0,0,360,419,357,99.1666666666667,3,0.833333333333333,357,2,357,247,68.6111111111111,110,30.5555555555556,30.812324929972,241,116,0,116,0,32.4929971988796,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-107.043889047147,0.306749854322618,0.217709274115805,-92.7355004612283,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,421,360,100,360,2,412,428,0.962616822429906,98.3293556085919,97.8622327790974,2,412,TRUE,FALSE,FALSE,TRUE,TRUE,AD,2
HLA-DQA2,Stomach,HLA-DQA2.rds,189,12333,32977,0,4022,0,162.798941798942,50,3.18773643169202e-31,5.13246600645394,0.00307515761164723,-178.672373014137,-175.277059205917,-266.903612659789,-266.903612659789,2,2,0,0,12,164,7,58.3333333333333,5,41.6666666666667,7,2,7,6,50,1,8.33333333333333,14.2857142857143,5,2,0,2,0,28.5714285714286,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-193.66773563729,5.58835618170718,0.455890175253245,-170.876378313965,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,30,1,8.33333333333333,1,1,4,190,0.0210526315789474,2.4390243902439,13.3333333333333,2,4,TRUE,FALSE,FALSE,FALSE,FALSE,AD,2
HLA-DQA2,Vagina,HLA-DQA2.rds,83,12310,31361,23,5590,25,244.132530120482,142,3.07597936068151e-15,0.705028367033776,0.00283789685937563,-86.5162877938246,-84.9675778339948,-117.134304786894,-117.134304786894,1,1,0,0,208,242,208,100,0,0,208,1,208,149,71.6346153846154,59,28.3653846153846,28.3653846153846,0,208,0,208,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-92.4431424421423,0.334092407172591,-0.370935959861185,-85.7063338221884,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,227,208,100,208,1,227,242,0.93801652892562,93.801652892562,100,1,227,TRUE,FALSE,FALSE,TRUE,TRUE,D,1
HLA-DQB2,Adipose Tissue,HLA-DQB2.rds,470,12168,33959,0,2545,0,396.012765957447,284,1.05067910219094e-69,2.52579204188709,0.00324599650411983,-476.458971589934,-471.305565268413,-665.696036552043,-665.696036552043,2,2,0,0,136,109,67,49.2647058823529,69,50.7352941176471,67,1,67,67,49.2647058823529,0,0,0,67,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-489.902872849714,2.4759971529906,-0.0497948888964857,-471.405172338131,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,110,67,49.2647058823529,67,1,109,110,0.990909090909091,100,99.0909090909091,2,109,TRUE,FALSE,FALSE,TRUE,TRUE,AD,2
HLA-DRB5,Adipose Tissue,HLA-DRB5.rds,470,10924,30233,0,2539,0,5425.19574468085,3264,4.10465040295935e-75,0.527706564934249,0.00287638320969563,-459.423016261353,-454.520365013923,-666.254030580006,-666.254030580006,3,3,0,0,669,185,181,27.0553064275037,488,72.9446935724963,181,3,181,150,22.4215246636771,31,4.63378176382661,17.1270718232044,103,49,29,78,0,43.0939226519337,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,1,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,3,-482.246594030189,0.041500032013289,-0.48620653292096,-457.302392229867,TRUE,2,1,0,0.8,0.15,0.05,0.8,0.15,0.05,290,284,42.4514200298954,278,3,185,290,0.637931034482759,100,63.7931034482759,3,185,TRUE,FALSE,FALSE,FALSE,FALSE,AD,2
HLA-DRB5,Heart,HLA-DRB5.rds,331,10924,30028,0,2744,0,1536.39274924471,848,5.78930403785954e-55,3.50167436420099,0.00284584953931244,-305.864323396608,-300.450101513459,-469.023434530328,-469.023434530328,2,2,0,0,34,42,33,97.0588235294118,1,2.94117647058824,33,2,33,2,5.88235294117647,31,91.1764705882353,93.9393939393939,2,31,0,31,0,93.9393939393939,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,1,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2,-322.010356502484,3.41920681262997,-0.0824675515710283,-300.531319092395,TRUE,1,1,0,0.8,0.15,0.05,0.8,0.15,0.05,42,33,97.0588235294118,2,2,42,42,1,100,100,2,42,TRUE,TRUE,TRUE,TRUE,TRUE,AD,2
HLA-DRB5,Ovary,HLA-DRB5.rds,106,10924,28269,0,4503,0,1056.33018867925,462.5,6.85093234748988e-16,2.17006136002757,0.00258385191131083,-117.323403959508,-113.938984921194,-149.768589792084,-149.768589792084,1,1,0,0,43,47,42,97.6744186046512,1,2.32558139534884,42,1,42,0,0,42,97.6744186046512,100,0,42,0,42,0,100,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,-123.214626793145,1.32717574446602,-0.842885615561556,-114.335643353425,TRUE,0,1,0,0.8,0.15,0.05,0.8,0.15,0.05,46,42,97.6744186046512,34,1,46,47,0.978723404255319,97.8723404255319,100,1,46,TRUE,FALSE,FALSE,TRUE,TRUE,D,1
