coding,Unweighted mixed,Weighted mixed,difference_weighted_minus_unweighted,ratio_weighted_to_unweighted
Additive,11095,12525,1430,1.12888688598468
Dominant,1701,514,-1187,0.30217519106408
Recessive,214,61,-153,0.285046728971963
