"iteration","source_iteration","source_fit","tissue","pi_add","pi_rec","pi_dom","pip_add","pip_rec","pip_dom","pip_total","n_fits","n_active_fits","n_nonconverged","prior_status","update_method","alpha_add","alpha_rec","alpha_dom","alpha_total","n_components","n_active_components","n_zero_variance_components","mstep_q_gain","source_elbo_sum","n_source_elbo","max_abs_prior_change","n_source_files","n_source_gene_errors","n_source_tissue_errors","created_at"
12,11,"weighted_fit_mix","Adipose Tissue",0.941167127356332,0.00340981798510223,0.0554230546585655,3280.87930326132,11.8866100692917,193.204670399928,3485.97058373054,17555,3195,0,"estimated","susie_active_component_alpha_v2",3280.90860596417,11.8866254960663,193.204768539759,3485.99999999999,175550,3486,172064,0.178698940828667,-11469390.4116388,17555,0.00234962202087019,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Adrenal Gland",0.898645415979337,0.00610361994797009,0.0952509640726924,1348.86899100149,9.15542951924765,142.972234469475,1500.99665499021,17488,1461,0,"estimated","susie_active_component_alpha_v2",1348.87228846509,9.15542989795951,142.972281636953,1501,174880,1501,173379,0.126291816537787,-3429594.19955483,17488,0.00337636401689534,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Blood",0.862736114670144,0.00971370012997481,0.127550185199881,2005.84034275786,22.5843490279299,296.553895516663,2324.97858730246,17566,2183,0,"estimated","susie_active_component_alpha_v2",2005.86146660809,22.5843528021915,296.554180589724,2325,175660,2325,173335,0.0394441770695266,-10568406.0865694,17566,0.00198105500668722,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Blood Vessel",0.944257981084007,0.00334527541781087,0.0523967434981818,3397.39779751512,12.0363009066095,188.523312499534,3597.95741092127,17558,3282,0,"estimated","susie_active_component_alpha_v2",3397.44021594025,12.0363009532835,188.523483106458,3597.99999999999,175580,3598,171982,0.168638029323233,-10960676.205049,17558,0.00218529619054242,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Brain",0.900828938997283,0.00212051821432854,0.0970505427883882,1192.69658305697,2.80756585622628,128.49491159605,1323.99906050925,17563,1286,0,"estimated","susie_active_component_alpha_v2",1192.6975152324,2.80756611577099,128.494918651826,1324,175630,1324,174306,0.101740334651026,-6294773.92170173,17563,0.00373552143010436,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Breast",0.937186253003572,0.00355698740601229,0.0592567595904155,2040.24948812172,7.7435614650082,129.00193498348,2176.99498457021,17540,2070,0,"estimated","susie_active_component_alpha_v2",2040.25447278878,7.74356158288876,129.001965628334,2177,175400,2177,173223,0.199601394470847,-6574510.44405464,17540,0.00332010915221115,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Colon",0.92027031988356,0.00496527487323349,0.0747644052432077,2182.80962532669,11.7726644652271,177.340932265225,2371.92322205714,17565,2220,0,"estimated","susie_active_component_alpha_v2",2182.88579032564,11.7726667579074,177.341542916445,2372,175650,2372,173278,0.183936566459693,-8129537.47358444,17565,0.00337742616152659,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Esophagus",0.95128087890051,0.000552120786737723,0.0481670003127524,2283.06557675555,1.32508988638188,115.600746510119,2399.99141315205,17549,2246,0,"estimated","susie_active_component_alpha_v2",2283.07410936122,1.32508988817053,115.600800750606,2400,175490,2400,173090,0.237214020575038,-10072580.139193,17549,0.00307530137969503,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Heart",0.907409119281138,0.00479175370006282,0.0877991270187996,1922.77715132883,10.1537223320201,186.046128507177,2118.97700216802,17546,1996,0,"estimated","susie_active_component_alpha_v2",1922.79992375673,10.1537260904331,186.046350152836,2119,175460,2119,173341,0.129653951467503,-8061447.94330963,17546,0.00319075110145073,18468,855,0,"2026-09-21 23:35:46 UTC"
12,11,"weighted_fit_mix","Kidney",0.861353969837046,0.0091329545557885,0.129513075607166,275.631766601726,2.92254512788076,41.444142121898,319.998453851505,17397,316,0,"estimated","susie_active_component_alpha_v2",275.633270347855,2.92254545785232,41.444184194293,320,173970,320,173650,0.00604360171033136,-1305492.1394827,17397,0.00208120265416578,18468,855,0,"2026-09-21 23:35:46 UTC"
